,Title,Question,Answer,Date,URL,Keyword
0,0,0,0,0,0,0
0,고혈압극복하는 방법좀,"학교검강검진에서 고혈압 나왔어요.. 제가 혈압보고 아닌거 같다고해서 3번인가 더했는데 맞데요..
이거 못고쳐요?? 무슨 중1이 고혈압에 걸려서는 제가 스트레스 좀 많이 받고, 흥분을 많이 하긴 하는데 이건 좀.. 
증상이랑 고혈압에 좋은 음식좀요..
(P.S아 그리고 친할아버지가 당뇨고, 외할아버지가 고혈압이예요)","안녕하세요. 하이닥 네이버 지식iN 가정의학과 상담의 고완규입니다.
 
고혈압과 고지혈증은 중풍이라고 불리는 뇌경색 또는 심근경색의 위험인자이지요.
앞으로 잘 관리 하셔야 될 겁니다.
  
고지혈증, 비만, 고혈압, 지방간, 이 모든 것은 결국 서로서로 연관이 있는 것입니다.
님이 주로 중점을 두어야 할 점은 우선 살을 많이 빼야 한다는 것이고 식이요법과 운동을 통해 체중감량과 고지혈증을 해결해야 한다는 것입니다. 짠 음식을 피하는 것이 가장 중요합니다.
결론부터 말씀 드리면 가장 나쁜 것은 흡연입니다. 차후에라도 흡연하지 마시고 운동도 열심히 하세요.

아래의 내용을 참고하시어 열심히 해보시기 바랍니다.

1. 하루 열량섭취(식사량) 중에서 지방에 의한 섭취를 30%(혹은 20%)까지 낮춘다.
(다불포화지방, 단불포화지방, 포화지방에 의한 열량 섭취를 각각 10%로 한다.)
2. 포화지방에 대한 불포화지방의 비율을 높인다.
(즉, 지방 섭취 시에는 불포화지방으로 섭취한다.)
3. 식이 섬유소(과일, 채소 등)를 하루 35g으로 증가시킨다.
4. 음식 내 콜레스테롤을 하루 200-300mg으로 감소시킨다.
5. 복합 탄수화물(빵, 곡류, 과일, 채소)에 의한 열량 섭취를 3-40 % 정도로 한다.
단순 탄수화물은 줄이는 것이 비만에 좋습니다
6. 적당한 염분
7. 과음을 피한다.
8. 체중 조절

원칙은 위의 내용대로 하시는 것입니다. 대충은 어떻게 하라는 것인지는 이해하시겠지만 구체적으로 무엇을 얼마나 먹어야 하는 것인지는 모르실 것입니다. 이것은 전문가의 도움이 필요한 부분입니다.

어떤 것은 먹어도 되고 어떤 것은 먹지 않는 것이 좋은지 다시 설명 드리겠습니다.
포화 지방은 나쁜 것, 불포화 지방은 좋은 것이라고 이해하시면 되겠습니다.

1. 총 지방 함량이 높은 음식(먹지 말 것)
: 기름에 튀긴 음식, 전지 분유, 크림, 고지방 치즈(체다 치즈, 크림 치즈),
  지방성 육류 고기와 그 가공 식품(소시지, 햄 등)
2. 포화지방의 함량이 높은 음식(먹지 말 것)
: 지방성 육류 고기와 육가공품, 곰탕, 돼지기름, 버터와 버터로 만든 케이크와 패스트리, 비스켓, 머핀, 팜유, 코코넛 기름, 초콜릿
3. 다불포화 지방의 함량이 높은 음식(먹어도 됨, 그래도 많이 먹으면 안 됩니다.)
: 일부 견과류(호두)와 씨앗, 생선, 식물성 기름(단, 마가린 경우에는 제조 과정 중에 트랜스 지방으로 바뀌게 되어 좋지 않다는 이야기도 있습니다.)
4. 단불포화지방의 함량이 높은 음식(먹어도 됨, 그래도 많이 먹으면 안 됩니다.)
: 올리브유, 올리브

이것도 복잡하시면 간단하게 생각해서 기름진 음식, 고기 짠 음식 등을 드시지 마시고 생선과 채소, 과일류를 주로 드시도록 하십시오. 그리고 달걀 노른자. 알 종류, 내장, 새우, 장어, 오징어 등은 콜레스테롤이 많으므로 삼가십시오. 한가지 더 팁을 드리면 우유는 저지방 우유로 드시고, 요리 시에는 식물성 기름을 사용하십시오.
고기는 껍질 부분은 제거하시고 튀기는 것보다 굽거나 삶는 조리법을 이용하십시오.
 
문의에 도움이 되었기를 바랍니다. 감사합니다.",2009.09.13,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010103&docId=28898697&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=61&search_sort=0&spq=0,고혈압
1,고혈압 위험군,제가 중1인데요 요번 신체검사때 고혈압 위험군이라고 나왔는데 심각한 것인가요 혈압은 나오지 않아서 모르겠는데 제가 말랐거든요 그래서 고혈압 같은건 안 걸릴꺼라고 생각했는데 위험군이라고 하니까 약간;; 검사한 데서는 2차검진을 해보라고 했어요 이거 고혈압 위험군 위험한 건가요 이거 나을려면 식습관을 어떤식으로 바꿔야 한요??,"안녕하세요. 하이닥-네이버 지식인 가정의학과 상담의 고완규 입니다.
 
가장 중요한 혈압 수치가 없어서 상담이 불가능하지만
질문을 주셨기에 답변하자면
질문자분께선 고혈압 여부에 대한 정확한 진단이 선행되는 것이 좋습니다.
필요하면 24시간 혈압을 측정하기도 합니다.
일회성으로 혈압이 높은 것은 고혈압으로 진단되지 않습니다.
 
아직 진단이 확실치 않다면 진단부터 다시 받아보시기 바랍니다.
필요 시 24시간 혈압측정을 통해 더 혈압정밀 검사를 해보시길 권합니다.
 
혈압은 완치 개념이 아니고 조절하면서 지내는 성인병 입니다.
생활 속에서 혈압을 낮출 수 있는 방법이나 특별한 민간요법이 있을 리가 없습니다.  
체중을 빼면 조금 도움이 될 수는 있겠습니다만...
 
높다면 저염식을 하시고 가벼운 운동도 하시기 바랍니다. 
 
답변이 도움이 되셨기를 바랍니다.",2009.07.06,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=28104269&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=80&search_sort=0&spq=0,고혈압
2,고혈압??? 내공 50,"아
 
제가 학교에서 건강검진을받았는데
 
혈압이 정상은 80미만이잖아요?
 
저는 나이에비해서 너무높데요
 
98나왔거든요?
 
고혈압 위험하다고 가족생활환경 주의에 신경써야된다고
 
그렇게나왔어요
 
근데 가끔 화가날때마다 목뒤쪽이아프고 한쪽머리가아프면서
 
짜증도나고 막 승질이나요
 
그리고 손끝에서 작은떨림도일어나고
 
막 주먹지면 심장소리라고해야하나 ?
 
심장박동수가 막들려요
 
그건왜그러는건지모르겠네요
 
아무튼 고혈압 무섭거든요?
 
어떻게해야하는지좀 알려주세요
 
그리고 또하나 손에서 자꾸 심장박동수처럼 뭐가뛰는것처럼느껴지거든요?
 
이건또왜이러는걸가요
 
내공겁니다 알려주세요 ㅠ","안녕하세요. 하이닥-네이버 지식인 가정의학과 상담의 고완규 입니다.
 
질문자분께선 고혈압 여부에 대한 정확한 진단이 선행되는 것이 좋습니다.
필요하면 24시간 혈압을 측정하기도 합니다.
일회성으로 혈압이 높은 것은 고혈압으로 진단되지 않습니다.
 
아직 진단이 확실치 않다면 진단부터 다시 받아보시기 바랍니다.
뭔가가 개운치 않으시다면 24시간 혈압측정을 통해 더 혈압정밀 검사를 해보시길 권합니다.
 
혈압은 완치 개념이 아니고 조절하면서 지내는 성인병 입니다.
생활 속에서 혈압을 낮출 수 있는 방법이나 특별한 민간요법이 있을 리가 없습니다.  
체중을 빼면 조금 도움이 될 수는 있겠습니다만...
 
저염식을 하시고 가벼운 운동도 하시기 바랍니다. 
 
답변이 도움이 되셨기를 바랍니다.",2009.06.27,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010103&docId=27937592&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=97&search_sort=0&spq=0,고혈압
3,고혈압 환자의 두통.,"안녕하세요...
저희 아버지가 고혈압이 있으십니다.
지방간에 고지혈증 까지 있으시고 콜레스테롤 수치또한 높습니다...
그런데 요새 스트레스 받으시는 일이 많아져서 그런지
갑자기 머리가 너무 아프실때가 있습니다.
어느정도라면 아무것도 못하고 가만히 누워있어야 할 정도로 머리가 아프십니다.
그리고 오늘은 머리가 아프신뒤 왼쪽 팔이 져리다고 하셨습니다.
갑자기 혈압이 올라가서 머리가 아프신 걸까요?
병원에 가서 정밀 검사를 받자고 하는데두 궂이 스트레스 때문에 그런다고 안 가시려고 합니다.
고혈압 환자에서 이런 두통은 어떤 증상 입니까...
정말 너무 너무 걱정이 됩니다...","안녕하세요.
 
하이닥 네이버 지식인 신경과 전문의 이한승 입니다.
 
질문이 다른 과를 돌아와서 불가피하게 답변이 늦어진 점 양해하여 주십시오.
 
고혈압에 의한 두통의 경우, 일단 혈압이 240/140 정도는 되어야 나타나며 주로 대뇌 후두엽의 부종이 발생하는 것이 주된 병태생리입니다.
 
따라서 머리 전반적인 두통 및 시력이 저하되며 구토가 발생하는 것이 일반적입니다.
 
만약 고혈압에 의해 뇌출혈이 발생하여 2차적으로 두통이 발생하는 경우에는 뇌출혈 부위에 따라 편마비, 혹은 반신 감각저하, 언어기능 저하 등의 음성증상이 주로 나타납니다.
 
대개 저림증은 나타나기 힘듭니다.
 
현재 아버님의 두통 및 왼팔 저림증은 임상적으로는 고혈압에 의한 것은 아닐 가능성이 매우 크며 정확한 진단을 위해서는 신경과 전문의를 방문하셔서 진찰을 받으셔야 할 것으로 생각됩니다.
 
감사합니다.",2009.04.22,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=26812790&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=105&search_sort=0&spq=0,고혈압
4,고혈압증상,"올해 31살되는 남자입니다
6개월전부터 뒤목이 댕기면서 귀주변에는 열이많이납니다
그리고 후두부 계속 찌릿찌릿하는데 이것이 고혈압증상인가요
그리고 평소 150/110정도 평균 나오는것 같은데
그럼 고혈압에 인지 궁금하네","고혈압의 증상이 맞는 것 같군요.
 
150/110 이면 심한 고혈압에 속합니다.
즉시 치료를 받으셔야 합니다.
 
나이가 젊으니 2차성 고혈압도 의심할 수 있습니다.
2차성 고혈압이란 부신의 종양이나 신장혈관의 협착 등 일차적인 원인에 의해 유발된 고혈압을 말합니다.
 
빨리 병원에 가셔서 정밀검사를 받으신 후 치료를 받으시기 바랍니다.
답변이 도움이 되었기 바랍니다.",2009.01.14,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70105&docId=27690415&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=110&search_sort=0&spq=0,고혈압
5,25살 고혈압의심이 되서 글 올립니다.,"혈압을 쟀는데요
최저 84~최고148까지 나왔어요 .
군대 입대할때도 고혈압 판정을 받안는데
1급으로 들어갔거든요 , ?
근데 그때는 전날에 너무 과음해서
그렇게 나온줄 알안는데
전역하고 다시 기회가 있어
재어보았더니 다시 최고 148까지 가네요.
 
요세 목뒷덜미도 뻐근하고 ,
 
고혈압의심이 되는데요 .
고혈압에 좋은 식습관과 생활습관, 운동좀 알려주세요 ㅠ
 
그리고 좋은 음식두요.
 
자체적으로 치료할수 있을까요.?","안녕하세요. 하이닥 네이버 지식인 가정의학과 상담의 고완규 입니다.
 
질문자분께선 고혈압 여부에 대한 정확한 진단이 선행되는 것이 좋습니다.
필요하면 24시간 혈압을 측정하기도 합니다.
일회성으로 혈압이 높은 것은 고혈압으로 진단되지 않습니다.
 
고혈압으로 진단이 나온다면 당연히 혈압 약을 쓰셔야 합니다.
아직 진단이 확실치 않다면 진단부터 다시 받아보시기 바랍니다.
뭔가가 개운치 않으시다면 24시간 혈압측정을 통해 더 혈압정밀 검사를 해보시길 권합니다.
 
혈압은 완치 개념이 아니고 조절하면서 지내는 성인병 입니다.
생활 속에서 혈압을 낮출 수 있는 방법이나 특별한 민간요법이 있을 리가 없습니다.  
체중을 빼면 조금 도움이 될 수는 있겠습니다만...
 
저염식을 하시고 가벼운 운동도 하시기 바랍니다. 음주도 피하시고요...
 
답변이 도움이 되셨기를 바랍니다.",2009.06.15,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010103&docId=28033469&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=120&search_sort=0&spq=0,고혈압
6,고혈압 약은 계속먹어야하나요?,"어머니가 얼마전부터 얼굴이 자꾸 뜨거워진다하셔서 오늘 병원에서 혈압을 측정했는데..
 
원래 저혈압이시거든요 근데 고혈압이시라고 약을 드셔야 한다는데...
 
고혈압약은 계속 먹어야하나요? 아니면 조절하면 혈압이 다시 정상으로 돌아오나요 ?
 
답변 부탁드리겠습니다. 감사합니다.","안녕하세요.
 
하이닥 네이버 지식인 가정의학과 상담의 고완규 입니다.
 
고혈압으로 진단이 나온다면 당연히 혈압 약을 쓰셔야 합니다.
 
꼭 평생 쓰는 것은 아니고 혈압이 좋아진다면 줄여 나갈 수도 있습니다.
 
물론 끊을 수도 있습니다.
 
뭔가가 개운치 않으시다면 24시간 혈압측정을 통해 더 혈압정밀 검사를 해보시길 권합니다.
 
혈압 약은 예방약입니다.
 
중풍, 심근경색, 콩팥손상 등을 예방하는 것이기 때문에 당연히 써야 하며 약물 치료 외에는 당연히 없습니다.
 
혈압은 완치 개념이 아니고 조절하면서 지내는 성인병 입니다.
 
의사들도 혈압 약을 먹습니다.
 
전세계 수억 인구들이 혈압 약을 복용합니다.
 
필요 없다면 복용을 안하고 다른 방법을 쓰겠지요.
 
체중도 줄이시고 저염식을 하시고 가벼운 운동도 하시기 바랍니다.
 
답변이 도움이 되셨기를 바랍니다.
 
항상 건강 하세요.
  
감사합니다.",2009.03.31,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010103&docId=26638643&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=129&search_sort=0&spq=0,고혈압
7,고혈압약을 먹을지 여부에 대한 상담,"아빠가 한달전쯤에 고혈압 진단 받으셨는데요.
 
비만은 아닌것 같아요. 얼굴이 말르셨고 배만 쫌 나왔었는데 다시 들어갔다고 하심
 
제가 출생년도는 잘 모르겠어서 56 년으로 했는데 53~52 세 정도 되십니다.
 
저 체중도 제가 확실히 몰라서 확실하지 않아요 -_-;
 
현제 혈압이 
 
90 - 100 에서 135-155
 
이신데요. 아빠께서 약 먹으면 , 계속 먹어야하고 거의 고혈압 약은 의존성이라
 
안드시려고 하시는데요. 저도 그게 맞다고 생각하는데 (지금 아직 처음이니까)
 
그래서 한약 지금 드시고 있어요. 맨날 운동하시고...
 
근데 혈압이 오르신다고 하시더라고요. 막 문제있고 그렇진 않지만 오늘 몸상태가 쫌 안좋다고
 
아까 그러셨어요. 아직 초기니까 좀더 고혈압에 좋은 야채같은거
 
꾸준히 먹고 식이요법으로 더 시도해 보는게 바람직 할까요?
 
제가 저 수준이 심한건지 모르겠어요 잘 -_-; 아빠랑 대화를 나누고 질문을 했어야 했는데 -_-...
 
또 인터넷에 보면 고혈압에 좋은 음식이 널리긴 했지만
 
의사샘이 추천하시는 음식 (당근같이 매일 깎아놓고 먹을만한거나 그냥 음식)
 
좀 알려주심 감사하겠습니다... 수고하세요 ^^;","안녕하세요. 하이닥 네이버 지식인 상담의 입니다.
 
아빠가 한달전쯤에 고혈압 진단 받으셨는데요.
 
--> 진단받자마자 150/90이 넘지 않으면 3개월간 남자들의 경우 군대다시 갔다는 마음으로 훈련소 때처럼 삶을 살면(술,담배 금지, 규칙적인 생활, 적절한 식사, 운동) 혈압이 떨어지는 경우도 꽤 있습니다.
 
비만은 아닌것 같아요. 얼굴이 말르셨고 배만 쫌 나왔었는데 다시 들어갔다고 하심 제가 출생년도는 잘 모르겠어서 56 년으로 했는데 53~52 세 정도 되십니다. 저 체중도 제가 확실히 몰라서 확실하지 않아요 -_-;
 
--> 마른 비만 또는 복부 비만(내장 비만)이 훨씬 안 좋다고 알려져 있습니다. 감자에 이쑤시개 꽂아놓은 체형이 고혈압의 합병증(뇌졸중, 심근경색)을 잘 일으킨다고 하죠.
 
현제 혈압이 90 - 100 에서 135-155이신데요.
 
--> 저희 삼촌이면 억지로 매일 아침 약을 입에 넣어드리겠습니다만..
 
아빠께서 약 먹으면 , 계속 먹어야하고 거의 고혈압 약은 의존성이라 안드시려고 하시는데요. 저도 그게 맞다고 생각하는데 (지금 아직 처음이니까)
 
--> 틀린 생각입니다.
 
그래서 한약 지금 드시고 있어요. 맨날 운동하시고...근데 혈압이 오르신다고 하시더라고요. 막 문제있고 그렇진 않지만 오늘 몸상태가 쫌 안좋다고 아까 그러셨어요. 아직 초기니까 좀더 고혈압에 좋은 야채같은거 꾸준히 먹고 식이요법으로 더 시도해 보는게 바람직 할까요?
 
--> 한약 몇 첩 먹고 평생 혈압약 안 먹게 해 주는 한의사 있으면 노벨 의학상 탑니다. 초기에 잘 조절하는 게 정말 중요합니다.
 
제가 저 수준이 심한건지 모르겠어요 잘 -_-; 아빠랑 대화를 나누고 질문을 했어야 했는데 -_-...
 
--> 심하지 않습니다. 효심이 느껴집니다.
 
또 인터넷에 보면 고혈압에 좋은 음식이 널리긴 했지만 의사샘이 추천하시는 음식 (당근같이 매일 깎아놓고 먹을만한거나 그냥 음식) 좀 알려주심 감사하겠습니다... 수고하세요 ^^;
 
--> 저염식이 추천되지만 명확한 근거 유무에 대한 이론의 여지가 많습니다. 과일보다는 채소를 추천하고 소식이 중요합니다. 아무리 식이요법 잘해도 술마시면 땡입니다. 한두잔은 괜찮다고 하지만 대한민국 예비역 가운데 한두잔만 마시고 술잔 내려 놓고 귀가할 수 있는 사람 거의 없습니다.
 
우선 혈압계를 구입하십시오. 그리고 매일 아침 일어나자 마자 화장실 다녀와서(오줌 마려우면 혈압 오르니까) 혈압을 측정해서 막대그래프로 그려서 한달치를 가지고 믿을만한 의사(아버지의 고등학교 동창이면 제일 좋고..아니면 질문자의 친구 아버지라도)를 찾아가 보십시오. 그 그래프 보고 혈압약 복용 필요 여부를 결정해 주실 겁니다.",2009.02.26,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010103&docId=27137146&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=134&search_sort=0&spq=0,고혈압
8,"고혈압의증상과원인,치료법","제가고혈압일지도모른다는생각이들어서..
증상이비슷하면병원가보려고요..
 
 
1.고혈압의증상
 
 
 
 
 
 
2.집에서할수있는치료법
 
 
 
 
 
 
3.고혈압의원인
 
 
 
 
 
 
 
 
 
부탁드립니다.","안녕하세요
답변드리겠습니다.
1.고혈압의증상 :  교과서적으로는 증상이 거의 없는 것으로 되어 있습니다. 하지만 실제 임상에서는 두통, 현기증, 뒷목이 당기는 듯한 느낌, 피로감등을 호소하는 경우가 더러 있습니다. 하지만 증상으로 고혈압을 의심하진 않습니다. 
 
2.집에서할수있는치료법 :  고혈압은 치료하는 질병이 아니라 관리하는 병이라고 생각하시면 됩니다. 따라서 관리할수 있는 방법은 일단 약물치료 이지만... 약물치료 이외의 방법으로는 저몀식이를 통한 소금량의 섭취감소, 유산소 운동등이 혈압을 감소시키는 것으로 알려져 있습니다.
 
 
3.고혈압의원인 :  많은 원인들이 있습니다. 하지만 절대적인 한가지는 없습니다. 따라서 여러가지 인자들이 복합적으로 작용하는 것으로 생각됩나다. 가장 큰 것으로는 유전적인 영향이 가장 클 것입니다. 또한 환경적인 인자 (생활방식, 식이습관 등등) 또한 영향을 미치는 것으로 알려져 있습니다.
 
감사합니다.",2009.06.09,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70105&docId=28210266&qb=6rOg7ZiI7JWV&enc=utf8&section=kin&rank=154&search_sort=0&spq=0,고혈압
