,Title,Question,Answer,Date,URL,Keyword
0,0.0,0.0,0.0,0.0,0.0,0
0,다음의 증상은 어느 진료과목에 해당되나요? 병원검사가 필요할까요?,"왼쪽 팔이 아프고 이유없이 멍이 들어서 병원에 가니 혈관염이라고 합니다. 별도의 검사도 없이 약을 처방받았는데 전혀 낫질 않고 있습니다. 혈관염에 대한 검색을 하면 제가 갖고 있는 다른 증상들이 함께 관련있는것으로 나오네요.
오래전부터 입안이 엄청 심하게 헐고, 허벅지 팔 등에 이유없이 멍이 자주 생깁니다. 두통과 어지럼증이 있으며 혈압은 80/50정도 입니다. 무릎 관절이 아무 이유 없이 심하게 쑤셔서 통풍검사를 권유받았으나 진료는 받지 않았습니다. 
이전에 근낭염으로 약 6개월간 주사 치료했고요, 허리 디스크가 있습니다.
왠지 위의 것들이 서로 연관된 건 아닌가 걱정이 되네요. 답변 부탁드립니다.","안녕하세요?
 
여러가지 증상으로 고민도 많고 고통이 심하시겠네요.
 
우선 자가면역질환들의 가능성이 있습니다. 기본적인 혈액검사부터 시작을 해서
이상소견이 보일 경우 자세한 검사가 필요할 수 있습니다.
류마티스내과나 혈액내과 방문하셔서 검사를 받아보시기 바랍니다.
 
인터넷에 검색 보다는 병원 방문하셔서 검사를 통해 본인의 상태에 대한
정확히 파악하는 것이 중요합니다.
 
감사합니다.",2010.10.12,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=118346702&qb=64uk7J2M&enc=utf8&section=kin&rank=1124&search_sort=0&spq=0,다음
0,(내공70) 다음 생리 늦추기 질문 빠른 답변 부탁드립니다.,"안녕하세요
현재 괌에 여행중인데요,
이번 달 말에 미국 사는 친구가 저를 보러 여행을 오기로 했는데
제 이번 달 생리 예정일이 이달 30일 입니다.(1월 31일에 생리후, 3월 1일에 생리 했음. 주기 꽤 정확하게 하는 편)
괌이 바다 아니면 할게 없는지라, 템포를 껴 볼까 해서 시도했는데 실패해서 생리 주기를 늦추기 위해 피임약을 복용하려 합니다.
지식인에 검색해 봐도 어떤 분은 7일 전에 복용해라 어떤 분은 생리 중에 복용해라, 말이 다 틀려서 정확한 정보를 얻고 싶습니다.
처음 복용하는 것이며, 미국에 거주중이므로 피임약 종류 추천해주셔도 구입이 불가능할 수가 있습니다.(거주중인 친척에게 부탁해서 구매할 예정)
현재 이달 생리는 3월5일자로 끝났습니다.
원하는 생리 일자는 4월 5일 이후이며, 생리 예정일은 3월 30일부터 4월 3~4일 까지 입니다.
피임약은 처음으로 복용하는 지라, 정확한 복용 방법과 복용 시작 날짜, 복용 후 관리 까지 상세하게 알려주시면 감사하겠습니다. 그리고 혹시나 복용 후 어떤 증상이 있으면 복용을 중단해야 하는 것인지 까지 적어주세요. 현재 체류 지역이 미국이라 자세한 상담이 불가능 하므로 이 외에도 주요 사항 같은 것 같이 알려주시면 감사합니다.!! 또 피임약 복용중에 음주 하면 안되는 건가요? 아무래도 친구가 오게 되면 저녁에 함께 술을 먹게될 일이 몇 번 생길것 같아서요....","안녕하세요! 대한의사협회 네이버 지식IN 산부인과 답변의사 안준모입니다.
 
 
생리지연을 위해 피임약을 복용하는 경우는 다음생리시작일에서 적어도 일주일
 
이전에 복용을 하시면 됩니다. 그리고 피임약을 복용을 하는 도중에 부작용으로
 
부정출혈이 일어나는 경우가 많습니다.그리고 필요하다면 알콜섭취는 가능하며
 
금기는 아닙니다.",2011.03.09,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7011403&docId=126939820&qb=64uk7J2M&enc=utf8&section=kin&rank=796&search_sort=0&spq=0,다음
0,피임약 복용후 휴약기에 생리를 안했을경우 다음 피임약 복용..,"피임약 마지막 복용일은 12월 15일쯤 되구요..
휴약기가 다 지나도록.. 거의 한달가까이 지난 지금까지도 생리가 없어요..
 
12월에 한번 테스트 해봤을때도 음성.. 
오늘도 테스트 해봤는데 결과는 음성.. 비임신입니다.
 
임신이 아니라면 다행이긴한데..
휴약기에 생리를 안하더라도 다음약을 복용해야하는걸 모르고.. 지금까지 약을 안먹고 있거든요.
 
지금도 질외사정으로 관계는 갖고 있는데.. 계속 피임을 해야 하는 상황이라..
언제 다시 피임약을 먹어야 할지 고민이네요..ㅠㅠ","안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 박춘식 입니다.
 
피임약 복용 기간이 얼마정도 되었는지 알 수 없습니다만,
경구피임약은 여성호르몬을 공급하여 난소가 배란하지 않도록 하여 피임을 유지합니다.
호르몬제이므로 복용 시 생리양이 줄어들 수 있으며,
장기복용 시에는 생리가 거의 나타나지 않는 경우도 있습니다.
 
지금 시점에서 스케줄을 잡아 시작하셔도 되고,
생리때까지 기다렸다가 복용을 재개하여도 됩니다.
 
하지만, 현재의 몸 상태를 점검받고 다시 재복용에 대한 지도를 받는 것이 좋아보입니다.
가급적 내원하셔서 상담을 받아보시길 바랍니다.
 
감사합니다.",2014.01.08,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7011403&docId=188180442&qb=64uk7J2M&enc=utf8&section=kin&rank=865&search_sort=0&spq=0,다음
1,제가 5월달에 생리를 하고  그다음 한 6개월동안 안하다가 이번달에 생리를 했습니다 그간 스트레스도받고 살도,"제가 5월달에 생리를 하고 그다음 한 6개월동안 안하다가 이번달에 생리를 했습니다 그간 스트레스도받고 살도찌고했구요 이번달에는 자연적으로 생리를 했습니다

궁금한것은 6개월정도 생리를 안한것이 혹 몸에 이상이있는지 병원을 가봐야할까요? 아니면 좀 지켜봐서 다음에 쭉 계속 하면 안가봐도 되는지 이점이 궁금합니다 나이가 스무살이라.. 각종 걱정이드네요^^;","안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 강경숙입니다.


생리주기는 항상 일정할 수는 없지만
2달이상 생리가 없다면 조절해줄 필요가 있습니다.


질문자분과 같은 임신을 원하지 않는 가임기 여성에게는
보통 경구용피임약이나 호르몬제 등으로
정기적인 생리를 유도하여
생리주기를 유지해주도록 하는 것이 필요합니다.


무월경의 원인은  난소 이상, 뇌하수체 기능 장애,
시상하부 장애, 내분비장애 등으로 다양하며
무월경이 지속되면 자궁내막암, 자궁내막증식증 등의 위험이 높아집니다.


앞으로는 6개월이상 무월경을 방치하지 말고
생리주기를 유지해도록 해주시기 바랍니다.


검진을 받아본 적이 없다면
산부인과 검진 겸 진료를 받아보시는 것도 좋겠습니다.


감사합니다.",2014.11.30,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7011403&docId=211999554&qb=64uk7J2M&enc=utf8&section=kin&rank=950&search_sort=0&spq=0,다음
2,자다가 자꾸 깨고 그다음에는 스트레스 때문에 두통으로 잠 못 이룹니다;;,뭐랄까 자고 일어나보면 내가 울고있어요 눈이 부을정도로.항상 잘 때마다 그렇구요.그 후로는 아무리 잠을 자고 싶어도 두통으로 잠이 않와요;;그것때문에 낮에 계속 자게되고;;,"안녕하세요. 하이닥-네이버 지식iN 정신건강의학과 상담의 신홍범입니다.

잠을 잘 못주무셔서 많이 힘드신거 같습니다.
이런 증상들이 계속 반복된다면 불면증을 의심해 보실 수 있습니다.

수면전문의와 상담 후 치료받길 권합니다.

병원에 내원 하셔서 수면다원 검사 및 뇌파 검사를 필요로 하며 뇌파 치료 및 인지행동
치료를 통해 좋아 지실 수 있으십니다.
아래는 불면증치료 방법 및 인지행동 치료에 대한 글이니 참고 하세요.
감사합니다.
---------------------------------------------------------------------------

잠들기 힘들고 자다가 자주 깨는 일이 있으면서
낮 동안 피로감 등을 느끼는 일이 3주 이상 지속되면 임상적으로
불면증을 진단할 수는 있습니다.

불면증의 원인은 정신적인 스트레스일 수 있습니다.
이 경우, 스트레스를 줄이도록 노력하는 것이 필요하면,
불면증 증상이 심하면 4주 이내의 기간 동안은 수면제를 처방 받아서
드시는 것도 도움이 됩니다.

약국에서 처방 없이 살 수 있는 수면유도제(항히스타민제, 감기약의 성분)도
일부 도움은 되지만 그 역시 부작용이 있으며 효과도 크지 않습니다.
불면증을 진단한 의사가 처방하는 수면제를 용법에 따라 드시는 것이 가장 좋습니다.

기본적으로 해야 하는 불면증 치료방법: 생활 습관 조정
잠자고 깨는 시간이 불규칙하면 불면증이 생깁니다.
일정한 시간에 자고 일어나도록 노력하시는 것이 좋습니다.
불면증을 악화 시키는 카페인이 함유된 음료를 피하고 적당한 운동도 도움이 됩니다.

수면제가 불면증 치료 방법?
불면증상이 4주 이상 지속된다면 수면제만으로 해결되지 않는
불면증일 가능성이 높습니다.
수면제는 일단 잠을 잘 수 있도록 해주기는 하지만,
수면제에 대한 의존성이 생깁니다.

약을 끊으면 다시 잠을 잘 수 없는 경우가 많고, 점차 높은 용량을 복용해야 합니다.
그 결과 수면제를 먹으면 잘 수 있으나, 아침에 일어나면
수면제 부작용으로 낮 동안 피로감, 졸음, 기억력저하, 집중력 저하 등
뇌기능 장애를 경험하게 됩니다.

표준적인 불면증 치료 방법, 불면증 인지행동 치료
불면증에 대한 가장 효과적이고 안전한 치료는 불면증 인지행동치료입니다.
미국, 유럽, 호주 등에서는 4주 이상 수면제 처방으로 해결되지 않는
불면증 환자에게 불면증 인지행동치료를 권합니다.

불면증 인지행동치료는 환자가 가진 잠에 대한 잘못된 생각을 교정하고
스스로 잠을 잘 수 있는 힘을 길러주는 치료이고 궁극적으로 자신의 힘으로
자신의 잠을 통제할 수 있도록 하는 치료입니다.

또 불면증 인지행동 치료는 상에 대한 재발을 방지하는 내용도 포함하고 있습니다.
4주 이상 불면증이 지속될 경우 불면증인지행동치료를 받는 것이 좋습니다.
불면증 인지행동 치료의 효과에 대해서는 지난 40년 동안 다양한 학자들이
연구를 통해서 입증해 놓았습니다.

불면증을 치료하는 의사로서, 다양한 유형의 불면증 환자들을 경험하게 됩니다.
그런데, 환자들이 가지고 있는 불면증에 대한 생각의 왜곡 유형은
유사한 점이 많으며, 불면증에 대한 진정한 치료는 이러한 생각의 왜곡을 교정하는 데서 옵니다.

또, 불면증 환자들에게 잠에 방해가 되는 생활습관을 교정하도록 권합니다.
이런 생활습관이 간단해 보이고 이런 것을 한다고 해서
잠이 얼마나 달라질까 하는 생각을 하는 분도 많지만 생각보다 효과가 큽니다.
감사합니다.

        출처: [머리가 좋아지는 수면] 신홍범 저, 북뱅크
[우리 아이 수면 코칭] 신홍범 저, 미래인",2014.10.10,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70109&docId=208512643&qb=64uk7J2M&enc=utf8&section=kin&rank=1257&search_sort=0&spq=0,다음
3,점뺀다음에 연고랑 듀오덤 둘다 쓰는거에요?,제가 점뺀 피부과에선 점빼고 담날부턴 세수할때 폼클 써도 된다고 하고재생연고랑 듀오덤 둘다 동시에 쓰래요.근데 검색해보니 왠지 상술같네요 재생연고 2만8천원이나 주고샀는데 -_-오늘 뺐는데 낼 아침7시쯤에 그냥 원래 하던데로 세수해도 되나요?밴드 떼구요,"안녕하세요. 하이닥-네이버 지식iN 피부과 상담의 임종현입니다.
 
1. 일단 *오덤을 붙였으면 재생이 될때까지 계속 붙이는게 좋습니다.
2. 여러 가지 이유로 1-2 주 후에 *오덤을 더 이상 붙이지 못하고 떼야하는데 아직 재생이 안 끝났으면 재생 크림과 자외선 차단제를 잘 바르는게 좋습니다. 즉, 붉은색이 사라질때까지 재생 크림을 바르면 도움이 됩니다.
3. *오덤을 하루 정도 밖에 못 붙일 상황이라면 재생 크림을 딱지가 떨어지고 붉은색이 사라질때까지 잘 발라주세요.
4. 세안은 해도 되지만 딱지가 떨어지지 않게 가볍게 해주세요.
 
감사합니다.",2014.04.04,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70111&docId=194920228&qb=64uk7J2M&enc=utf8&section=kin&rank=1291&search_sort=0&spq=0,다음
0,사후피임약먹은후 다음 관계,"11월9일에 관계해서 11월 10일에 사후피임약먹엇는데
이제 다음관계는 언제해도되나요?? 사후피임약먹은후
콘돔끼구 관계해두 지장없나요??","안녕하세요. 하이닥-네이버 지식iN 산부인과 상담의 장재빈 입니다.
 
사후피임약은 고용량의 호르몬 제제입니다.
그렇기 때문에 반복 복용시 여성 호르몬의 장애를 일으켜서
생리 불순, 배란 장애, 부정 출혈 등등을 일으킬 수 있습니다.
 
사후피임약은 반복 복용 할 수록 피임효과는 떨어지고,
부작용은 커지는 특성이 있으므로 사전에 안전한 방법의 피임을 하시어
반복 복용하는 일이 없도록 하셔야 합니다.
 
사후피임약을 복용하여도 약 20-30% 정도에서는
임신이 되는 확률이 있으므로
복용 2주 후에는 임신 테스트를 해 보시는 것이 좋습니다.


감사합니다.",2015.11.11,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7011403&docId=238342669&qb=64uk7J2M&enc=utf8&section=kin&rank=340&search_sort=0&spq=0,다음
1,다음과같은 증상의 병명이 무엇인가요?,"증상이 갑작스럽게 일어나고 만성적이면서 신경성 증상으로 해마다 통증의 강도와 지속시간이 증가.
 암기나 시험 등에 대하여 효율적인 정신작용을 수행하려할때 강도높은 통증이 일어남.
 부비동염에 동반되며 
우뇌 측두전반에 걸쳐서 통증이 일어나고 
빛에 민감하게 증상이 심해지기도하고
식욕이 감퇴되고 
통증은 수면을 방해할만한 강도로
 숙취가 있을때 생기는 두통과 그 아픔이 동일

시험공부할때마다 이것때문에도 짜증나네요.","안녕하세요. 하이닥-네이버 지식iN 신경과 상담의 이종문 입니다.
 
두통으로 인해 많은 불편을 겪고 계시는군요.
두통은 머리에서 발생하는 통증 및 감각의 이상을 의미합니다.
 
두통의 시작시기, 빈도, 지속시간, 두통의 성격, 위치, 약물치료에 대한 반응,
동반 증상 등 자세한 병력 청취가 필요합니다.
진단에 따라 각각 다른 치료가 필요한 경우가 있기 때문에 정확한 진단이 필요합니다.

두통은 매우 흔한 증상이며 대부분은 원발성 두통
(원인이 아직 밝혀지지 않았지만 보전적 치료에 잘 반응)입니다.

두통은 누구나 일생동안 한번이상 겪게 되는 흔한 증상입니다.
진통제로 조절되지 않고 지나치게 장시간 지속되며, 동반되는 신경학적 증상
(어지럼증, 구토, 마비, 감각이상, 실어증, 기억저하),
이전에 경험한 적이 없는 처음 느끼는 두통이 있는 경우에는
반드시 신경과 전문의와 상의하시기 바랍니다.

두통의 흔한 원인들 중의 하나가 스트레스와 피로입니다.
생활요법(규칙적인 생활, 운동, 목-어깨 스트레칭, 수면)으로도 증상 호전이 없다면
가까운 신경과를 방문하셔서 자세한 병력청취와
신경학적 검진후 필요한 검사를 받으시도록 권유드립니다.


 빛에 민감하고 수면을 방해할 정도의 통증이 소화장애와 동반된다면
편두통의 가능성도 있습니다.
신경과 전문의와 상의하시기 바랍니다. 
감사합니다.
 
참고문헌: 신경학(대한신경과학회, 군자출판사), 두통학(대한두통학회, 군자출판사)",2015.12.15,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70108&docId=240670879&qb=64uk7J2M&enc=utf8&section=kin&rank=884&search_sort=0&spq=0,다음
0,대변 보고 다음 날 배탈,대변을 보고 나면 꼭 다음 날 배탈이 나서 또 화장실을 가게됩니다. 한두번도 아니고 매번 이래서.. 혹시 몸에 문제가 있는건가 걱정이 되네요. 혹시 이러신 분들 병원 가보셨나요 ?,"안녕하세요. 하이닥-네이버 지식iN 내과 상담의 진성림 입니다.
 
글만으로는 정확히 알 수 없습니다.
위장의 운동장애, 과민성 대장 증후군의 가능성도 있습니다.



우선 음식을 주의하는 것이 좋겠습니다.
설사를 자주 할 경우 수분- 전해질 불균형일 올 수 있으므로
수분 섭취를 충분히 하시고,  
설사가 지속된다면 당분간 물 외에 금식을 하는 것이 좋습니다.
설사가 중단되고, 속이 좀 편안해 진다면 죽이나 미음으로 식사를 시작해보도록 하세요.


또한, 자극적이고 기름진 음식은 피하시는 것이 좋겠습니다.
이외 스트레스도 조절하시고 가벼운 운동도 도움이 될 수 있습니다.
증상이 호전되지 않는다면 가까운 내과를 방문하여 진료를 보는 것이 좋겠습니다.


감사합니다.",2016.02.17,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010102&docId=245852503&qb=64uk7J2M&enc=utf8&section=kin&rank=377&search_sort=0&spq=0,다음
