,Title,Question,Answer,Date,URL,Keyword
0,0,0,0,0,0,0
0,"엄마가 복시증상으로 mri를 찍으셨어요,,","복시증상이 나타난지 일주일정도 됐는데요,,
mri 검사결과, 뇌에는 특별한 이상이 없다고 하구요,,
 
다만 뇌에서 어떤 혈관쪽이 살짝 눌려있다고 했나?? 암튼 그랬거든요,,
 
일주일정도 약물치료를 해보자고 하셨어요,,정확하게 병명은 없는데
중풍 쪽으로 말씀을 하시더라구요,,
 
그런데 뇌졸중이나 중풍이 나타나면 혈관성 치매일 수도 있다는데, 그럴 확
률이 높나요?? 저희 엄마는 건망증이 가끔 심하시긴 해도 그 외에는 치매전조증상
같은 게 보이시진 않거든요,,mri상에는 문제가 없다니까 괜찮은걸까요??
내일은 뇌파검사가 있으시다는데,,혹시 이게 치매가 의심이 되서 그런건지,,
너무 걱정이 되네요ㅠㅠ","네이버 지식인 답변을 하고 있는 신경외과 의사입니다.
 
복시증상으로 질문을 주셨군요.
그나마 현재 검사상에서 큰 이상이 없다고 하니 다행입니다.
복시 증상의 원인에는 눈 자체의 이상에 의한 경우와, 뇌신경에 이상이 있는 경우에 발생될수 있습니다.
MRI가 모든 진단을 해주는 것은 아니지만, 그래도 검사상 큰 이상이 없다고 하면,
약물치료로 가능하다는 판단입니다.
 
뇌파검사의 경우, 치매로 인해 검사했을것으로 보이지는 않습니다. 직접 진찰을 하지 못해 확답드리기 어려우나
이차적인 원인에 대해 다반적인 검사를 하시는 걸로 판단됩니다.
 
일단, 담당 선생님과 다시한번 상의하시고 향후 치료를 받으셔야 할것 같습니다.
 
아무쪼록 빠른 쾌유를 바랍니다.",2009.10.28,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70107&docId=28906387&qb=67O17Iuc&enc=utf8&section=kin&rank=1&search_sort=0&spq=0,복시
1,프리즘 안경을 쓰게 되면 복시 증세가 유지될까봐 겁이 납니다.,"어느날 갑자기 복시증세를 느꼈습니다.
그런데 별일 아니다 싶었는데 계속 그렇더군요..
그래서 6개월 정도 지난후 병원에 갔었는 데
내사시가 발생했다고 합니다.
그리고 안근에 문제가 있어 수술 외에는 방법이 없다하고 수술을 받는다해도 다시 재발할 가능성이 있다더군요...
일단은 2프리즘의 내사시용 안경을 처방받아 안경을 맞추었습니다.
 
이 안경을 쓰게되면 복시가 완벽하진 않아도 생활에는 전혀 문제가 없더군요..
그런데 프리즘 안경은 운전할 때 등 집중해야 하는 상황에만 쓰고 나머지는 일반 안경을 사용합니다.
프리즘 안경을 계속 쓰게 되면 자연적인 적응이 진행되지 않고 내사시가 고정될까봐 걱정이 되서 그렇습니다.
 
복시에 관련해서 아시는 분의 의견을 구합니다.","안녕하세요.
마비성 사시로 인한 복시가 생긴 것으로 보여지는군요.
마비성사시는 여러가지 원인에 의해서 생기지만 특별한 원인이 없는 경우는 6개월 정도 기다려봅니다. 그 후 어느 정도 회복이 되면 이 후는 회복 정도가 많지 않아 수술을 하게 되거나 님처럼 프리즘안경을 쓰게 됩니다.
일단 정도도 심해보이지 않고 프리즘안경으로 복시가 어느 정도 호전된다고 하시면 지금하고 있는 것처럼 하시면 될 것같고 프리즘 안경착용이 사시의 진행에 영향을 주지는 않습니다.
감사합니다.",2009.05.29,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70112&docId=26604989&qb=67O17Iuc&enc=utf8&section=kin&rank=2&search_sort=0&spq=0,복시
2,복시에 대해 궁금한게 있습니다.,"제가 양 눈을 뜨고 물체를 바라보다가 힘을뺀다고 해야하나 멍하니 바라본다고 해야하나; 그럴때
 
물체가 상하좌우로 겹쳐서 보이는데 혹시 이게 복시인지요?
 
그래서인지는 모르겠으나 평소에 눈에 조금 힘을주고 있어서인지 눈이 자주 피로합니다
 
한 눈을 가리고 한눈만 뜨면 눈에 힘을빼도 그런증상이 없습니다 두 눈을 모두 뜬 상태에서만 그렇게 됩니다.
 
뭐 한 50m~100m 정도의 멀리있는 물체에 대해선 눈에 힘을빼거나 멍하니 쳐다봐도 그런증상이 없습니다.
 
한 2~3m거리정도에 있는 물체까지는 그런증상이 있습니다.
 
눈에 힘을 쫙뺀상태로 타인이 제 눈을 보면 사시처럼 보이진 않습니.
 
힘뺄때나 평소에나 동공이나 홍채쪽 모양은 그대로라고 합니다.
 
또한 평소에 눈꺼풀이 좀 내려와 홍채 아래까지 내려오는 (동공까지 덮진 않음) 안검하수가 있습니다.
 
혹시 이게 복시일 수 있나요?","안녕하세요.
하이닥 네이버 지식인 안과 상담의사 임병각 입니다.
 
지금 말씀하시는 것이 일부러 촛점을 맞추지 않은 상태에서
물체가 흐려 보인다고 말씀 하신것 같네요.
 
내용상이나 정황상은 일반적으로 흔히 일어나는 일 같습니다.
 
눈은 사진기와 같이 생각 하시면 됩니다
사진을 찍기 위해 사진기 셔터을 누르면
 
저절로 촛점이 맞으면서 잘 보이죠 .
그리고 사진도 잘 나오고요.
 
눈도 어떤 물체를 보려고 해야 촛점이 잘 맞는 것입니다.
 
심하다 싶으시면 안과 진료가 요합니다.",2009.07.23,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70112&docId=28684315&qb=67O17Iuc&enc=utf8&section=kin&rank=22&search_sort=0&spq=0,복시
3,뇌출혈로 인한 복시입니다.,"1년 6개월전 뇌출혈이 있었습니다.
그로인해 다른 힘든점은 없으나
복시가 치유되지 않고 있습니다.
 
한쪽눈을 가리면 보이는 양안성복시인데
담당 과장님 말씀으로는 뇌출혈시 시신경에 손상이 있어서 생긴거라
자연치유로 기다릴수 밖에 없다하시어
이제까지 마냥 지내고 있는데
전혀 차도가 없습니다.
 
수술이나 다른 치료방법을 알고 싶습니다.
 
생활하는데 너무 지장이 많아 하루하루가 많이 힘드네요.
 
어떤 답글이라도 좋으니 많이 부탁드립니다.","사실 이 경우는 수술하지 않고 기다려 보는 것이 원칙입니다.
대략 6개월 정도 기다려보다가 차도가 없으면 그때 사시 수술을 하게 되죠.
 
왜냐하면 이렇게 발생한 사시는 눈의 이상이 아니고 뇌의 이상이기 때문에 뇌기능이 회복될 때까지 기다려보는 것이 원칙이고 기다려도 회복이 안되면 그때 눈 수술을 받으시는 것이 좋겠습니다.
 
그러나 대부분 기다리는 동안 불편감을 호소하시기 때문에 임시로 프리즘 안경(사시 증상을 없애주기 위해 렌즈에 프리즘을 입힌 안경입니다)을 처방받으시고 생활하시는 것도 매우 도움이 됩니다.
 
감사합니다.",2009.03.15,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70112&docId=28288475&qb=67O17Iuc&enc=utf8&section=kin&rank=23&search_sort=0&spq=0,복시
4,안와골절 수술후 복시현상,"안와내벽 골절 수술을 받은지 3주째 된 사람입니다
대학병원에서 수술을 했구요...
수술후 몇가지 증상으로인해 궁금해서 글을 올립니다
 
코쪽 내벽골절로 인하여 수술을 해서 그런지
안구운동할때 코쪽이 항상 땡기고 욱시거립니다
평상시에도 코 바깥쪽이 욱시거리고 땡기는 증상이 있구요...
수술전에도 위를 볼때에 다친 눈동자가 덜 올라갔는데...
수술후에도 여전히 덜 올라가고있습니다
수술후 얼마지나지 않아서는 부종때문일꺼라 생각을 했는데
지금은 부종은 다 가라앉은것 같은데도 아직도 덜올라가는 안구운동 장애가 있습니다
평상시는 모르는데 위를 치켜뜰때에 확실히 티가날정도로 안올라갑니다...
선생님?
그래서 복시현상도 아직 남아있는것인가요?
안구운동장애와 복시현상이 수술전과 별 달라진게 없네요...
물론 입원실에 있을때보단 차도가 있긴 하지만 3주가 지난 지금에는 별 차이가 없는듯...
점점 좋아질까요?
안구운동장애도 안구운동으로 좋아질수있을까요?
수술을 담당하신 교수님 말씀으론 근육이 손상되었다고 하진 않던데...
왜 이렇게 안구운동장애가 지속되는 것일까요?
그리고 지금은 온찜질은 하고있는데
뜨고운 물로 하기 힘들어서
의료기인 적외선온찜질로 하고있습니다...
따뜻해서 사용하기편하던데 괜찮을까요?
언제쯤이면 모든증상들이 괜찮아질까요?","수술후 붓기가 완전히 빠지지 않아서일 가능성 있습니다.
그러나 수술후에도 간혹 근육의 손상이 지속되거나 다른 문제가 생겼을 가능성도 없진 않습니다.
 
정확한것은 안와 CT 촬영을 하게 되면 알 수 있습니다.
근육이 골절부위로 다시 탈출되었는지 출혈이 생겨서 근육을 압박하고 있지 않은지를 판단할 수 가 있죠.
 
수술후 3주는 약간 애매한 시점입니다.
소견에 따라서는 좀더 기다려보자고 하는 분들도 있고 붓기는 빠질대로 빠진 시점이라고 여기는 분들도 있구요.
 
제 생각엔 CT를 다시 찍어보는 것도 나쁘진 않을 것 같습니다.
CT상에서 문제가 없다면 안심하고 기다려 볼 수 있겠습니다.
 
감사합니다.",2009.03.22,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70112&docId=29387923&qb=67O17Iuc&enc=utf8&section=kin&rank=24&search_sort=0&spq=0,복시
5,단안 복시가 의심되요,"제가 물체를 보면 물체 위로 상이 하나 더 맺힙니다
 
한쪽눈을 가려도 그렇게 보이고 양쪽눈 다 떠도 그렇게 보입니다.
 
최근에 안경을 맞추느라 시력검사는 한지 2주일도 채 지나지 않았습니다.
 
안경도 전 안경과 다른 게 없었구요
 
옛날 부터 약하게 이런 느낌이 있었는데 요즘 더 심해지네요
 
책도 못읽겠고 컴퓨터나 핸드폰을 할때도 폴더나 아이콘이 위에 하나 더 생겨서 보이고요
 
어떤 걸 봐도 다 위로 하나 더 생깁니다.
 
가
가
 
 
설명하자면 위에처럼 보인다고 할수 있겟네요
 
안과갔더니 빛을 보라고 하고 왔다갔다 하더니 암말 안하더군요
 
제 증상이 뭔지 치료는 어떻게 해야 하는지 구체적으로 좀 알려주시길 바랍니다","안녕하세요!
말씀하신 증상은 알고 계신대로 '단안 복시'라고 합니다.
검사를 해 보아야 정확한 원인을 말씀드릴 수 있겠지만
흔하게 교정이 안되는 난시가 있거나
안구의 구면수차에 의해 생기는 경우가 많습니다.
이런 경우 밝은 곳에서는 복시가 사라지지만 어두운 곳에서 증상이 심해집니다.
또한 특징적으로 바늘 구멍(pinhole)을 통해 보면 복시가 없어집니다.
말씀하신 증상 내용만으로 구체적인 원인이나 해결 방법을 알려드리기는 어렵구요,
먼저 안경 돗수가 맞는지, 각막에 이상이 있는지 안과에서 검사를 받아보시길 권유드립니다.",2009.10.11,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70112&docId=30541884&qb=67O17Iuc&enc=utf8&section=kin&rank=28&search_sort=0&spq=0,복시
6,안와골절 긴급문의,"안와골절문의드립니다
3월2일 오른쪽 눈 안와골절 수술을 받은 사람입니다
지금은 수술한지 6일정도 지났구요...
오른쪽 코쪽으로 골절이 있다고 하더군요
아랫쪽은 골절이 없었구 코쪽중간정도에 골절이있다고
했습니다..
수술전 증상은
오른쪽볼때에
복시가 30도정도에 있었구요
아래쪽 복시는 전혀 없었습니다
그리곤 윗쪽과 왼쪽은 70도정도로 멀게만 복시가 있었구요
윗쪽으로 눈을 치켜뜰때면 다친 오른쪽눈이
조금 덜 올라가더라구요...눈에 살짝 뛸정도...
그리고 무엇보다 어지러운게 힘들어서 수술을
결정했습니다
모든걸 정상으로 돌리기위해
수술을 하였는데

수술후 증상은 더 심해졌습니다
아직 수술후 5일밖에 안지났지만
그래도 너무 불안하고 답답해서 문의드립니다
 
궁금한점은
첫째 전에 없던 아랫쪽을 볼때에 복시가 심하게 생겼습니다 왜 생긴걸까요?
둘째 위쪽을 볼때에 사시끼가 있었는데 다친눈이 덜 올라갔었거든요
        그런데 아직도 그대로 입니다... 아니 오히려 더 덜 올라갑니다 답답하네요
셋째 어지러운 증상도 더 심해졌어요
넷째 코쪽 눈안쪽이 안와골절이라고 하더니 많이 땡기네요
다섯째 안구운동은 어떤식으로...
 
모든 증상이 수술전과 비교해봤을때 호전된건 하나도 없습니다
오히려 더 심해졌고 없던 복시마져 생기고
수술전 그럴수도 있다고 하긴 했는데...
일시적인 부종으로인해 그런걸까
아님 수술이 잘못된건까요?
얼마간에 시간이 흘러야 호전되는지 알수있을까요?
 
그리고 언제쯤이면 이런 증상들이 사라질까요?
아님 증상이 호전이 안될수도 있을까요?
수술하신 교수님말씀은 근육은 손상이 되지 않았다고 하셨거든요...
그런데 수술할때에는 다친근육이 약간 유착이 되어서 수술할때에 조금 힘들었다고
말하긴 했었거든요...그 부분이 맘에 걸립니다...혹시 수술이 잘못된건 아닌지...","◈안와골절◈

눈 주위 뼈는 아주 얇기 때문에 눈에 심한 충격이 오면 쉽게 골절이 생깁니다. 안와골절이 생기면 눈의 조직 특히 눈운동을 하는 근육이 손상받고 골절된 틈 사이로 끼어 눈의 움직임에 장애가 생기며 이로 인한 복시가 나타나게 됩니다. 또 골절의 크기가 크면 많은 양의 눈 조직들이 골절부위로 빠져나가기 때문에 눈이 함몰되는 미용상의 문제가 발생합니다.
진단진단은 환자의 병력과 증상 그리고 전산화단층촬영(CT)으로 쉽게 진단이 가능합니다.

안와골절로 인한 눈의 근육손상으로 안구운동장애 및 복시가 나타나며 눈이 붓고 눈꺼풀 및 결막의 출혈, 얼굴의 감각이상, 코 의 출혈 등이 나타날 수 있습니다. 코를 풀면 골절 틈을 통해 공기가 눈 쪽으로 올라가 눈이 갑자기 붓는 경우가 있으니 코를 풀지 말 아야 합니다.
골절이 큰 경우는 눈이 쑥 꺼지는 안구함몰이 나타나는데 이는 외상 초기에는 잘 모르다가 시간이 지날수록 뚜렷하게 나 타납니다. 보통 6개월 정도는 눈이 함몰되는 것을 지켜 보아야 합니다. 가끔 눈 근육의 손상이 심한 경우 눈의 통증,구토, 메스꺼움 과 같은 증상이 나타날 수 있습니다.


진단은 환자의 병력과 증상 그리고 전산화단층촬영(CT)으로 쉽게 진단이 가능합니다.
치료1. 안와골절은 반드시 수술해야 하는가?
모든 환자가 수술을 받아야 하는 것은 아닙니다. 골절의 크기가 작고 복시가 심하지 않으면 수술을 하지 않고 지켜 보는 것이 좋습니다. 골 절로 인한 부종과 출혈이 가라 앉으면서 증상이 호전될 수 있기 때문입니다.
하지만 골절 틈으로 눈의 근육이 심하게 끼이거나 골절이 너무 큰 경우에는 수술을 해 주어야 합니다. 수술은 골절부위로 빠진 조직들을 복원 시키고 다시 빠지지 않도록 삽입물로 받쳐 줍니다.
2. 안와골절 수술은 언제 합니까?
외상으로 인한 부종이 빠지는 것을 조금 기다린 후 1-2주내에 수술하는 것이 일반적 입니다. 수술시기가 너무 늦어지면 손상된 안와조 직에서 흉터가 생기기 시작하여 수술이 어렵고 수술 결과도 나쁠 수 있습니다. 만약 눈의 근육이 너무 심하게 끼이면 근육의 손상도 예 상되므로 가능한 빨리 수술해야 하는 경우도 있습니다. 그러나 2주가 지난 환자라도 복시나 안구함몰이 심하면 교정을 해야 하니 안성 형 전문의사 진료를 반드시 받아서 상담을 하시기 바랍니다.
3. 안와골절시 코를 풀지 말라는 이유는?
눈을 싸고 있는 뼈는 코와 연결이 되어 있는데, 코를 풀면 골절이 생긴 곳을 통하여 공기가 안와내로 들어가 눈이 심하게 부풀어 오릅니 다. 이를 방지하기 위해서 입니다.
4. 복시로 인해 수술을 했는데 수술 후에도 복시가 있다.
눈 움직이는 근육이 골절부위에 끼어서 눈 운동장애와 복시가 있어서 수술한 경우는 근육을 풀어주고 골절부위를 복원합니 다. 근육이 골절로 인하여 손상을 받고 출혈,부종과 염증이 생기므로 수술 직후에는 일반적으로 수술전과 비교하여 안구 운동 장애와 복시는 호전이 되지만 회복이 되는 시간이 필요 합니다. 일반적으로 2-3개월 정도 시간이 필요 합니다.
수술의 합병증일반적인 감염, 출혈등의 합병증이 있을 수 있으나 흔히 나타나는 합병증는 아닙니다. 수술 후 얼굴과 코 주위에 감각이상이 있을 수 있는데 이는 오랜 시간에 걸쳐 서서히 좋아 지는 것이 일반적입니다.
그리고 아주 드물게 안구내 혈관이 막히거나 시신경 손상으로 아주 드물게 시력손상이 올 수 있습니다.",2009.03.06,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70112&docId=28245674&qb=67O17Iuc&enc=utf8&section=kin&rank=40&search_sort=0&spq=0,복시
7,안와골절 수술시기,"제가  64일전에 야구를하다 야구공에맞아서 눈이 피멍이들고 부었었어요 
그래서 대학병원가서 ct도찍고 해서 진단결과 안와골절이라고 나왔는데요
아직 많이 부어서 모르겠으니까 2주정도 후에 오라고 하더라구요 그래서 2후주에 가니까
눈이움직이는거나 복시 그런건 이상이없는데 골절부위가커서 갈수록 안구함몰이 생길수있다고하더라구요 그래서 한달동안 지켜보겠다고 하셔서 한달후 병원을갔는데 2mm가 들어갔다고 했어요
근데 수술하는쪽으로 결정을 한다니까 지금 아직도약간부어있고 근육이늘러붙어서 수술하기가힘들고 피도많이난다고 한달동안만 더 지켜본다고 했는데요
 
64일이나 지났는데 한달후에는 너무 수술시기가 늦는게 아닌가해서...예약도 잡아야하고 하니까..
 
1 너무 늦어서 수술을 못하는건가요??ㅠㅠ
2 수술을하면 삼성서울병원 이라는곳에서 한다는데 잘하는 곳인가요?
3 수술을 한다하면 원래대로 돌아올수는 있나요??
4 그리고 지금 부어서그런지 한쪽이 애교살이없는데..수술하면 돌아오나요?","눈 주위 뼈는 아주 얇기 때문에 눈에 심한 충격이 오면 쉽게 골절이 생깁니다. 안와골절이 생기면 눈의 조직 특히 눈운동을 하는 근육이 손상받고 골절된 틈 사이로 끼어 눈의 움직임에 장애가 생기며 이로 인한 복시가 나타나게 됩니다. 또 골절의 크기가 크면 많은 양의 눈 조직들이 골절부위로 빠져나가기 때문에 눈이 함몰되는 미용상의 문제가 발생합니다.
진단진단은 환자의 병력과 증상 그리고 전산화단층촬영(CT)으로 쉽게 진단이 가능합니다.
 
안와골절로 인한 눈의 근육손상으로 안구운동장애 및 복시가 나타나며 눈이 붓고 눈꺼풀 및 결막의 출혈, 얼굴의 감각이상, 코 의 출혈 등이 나타날 수 있습니다. 코를 풀면 골절 틈을 통해 공기가 눈 쪽으로 올라가 눈이 갑자기 붓는 경우가 있으니 코를 풀지 말 아야 합니다.
 골절이 큰 경우는 눈이 쑥 꺼지는 안구함몰이 나타나는데 이는 외상 초기에는 잘 모르다가 시간이 지날수록 뚜렷하게 나 타납니다. 보통 6개월 정도는 눈이 함몰되는 것을 지켜 보아야 합니다. 가끔 눈 근육의 손상이 심한 경우 눈의 통증,구토, 메스꺼움 과 같은 증상이 나타날 수 있습니다.  
진단은 환자의 병력과 증상 그리고 전산화단층촬영(CT)으로 쉽게 진단이 가능합니다.
치료1. 안와골절은 반드시 수술해야 하는가?
모든 환자가 수술을 받아야 하는 것은 아닙니다. 골절의 크기가 작고 복시가 심하지 않으면 수술을 하지 않고 지켜 보는 것이 좋습니다. 골 절로 인한 부종과 출혈이 가라 앉으면서 증상이 호전될 수 있기 때문입니다.
하지만 골절 틈으로 눈의 근육이 심하게 끼이거나 골절이 너무 큰 경우에는 수술을 해 주어야 합니다. 수술은 골절부위로 빠진 조직들을 복원 시키고 다시 빠지지 않도록 삽입물로 받쳐 줍니다.
2. 안와골절 수술은 언제 합니까?
외상으로 인한 부종이 빠지는 것을 조금 기다린 후 1-2주내에 수술하는 것이 일반적 입니다. 수술시기가 너무 늦어지면 손상된 안와조 직에서 흉터가 생기기 시작하여 수술이 어렵고 수술 결과도 나쁠 수 있습니다. 만약 눈의 근육이 너무 심하게 끼이면 근육의 손상도 예 상되므로 가능한 빨리 수술해야 하는 경우도 있습니다. 그러나 2주가 지난 환자라도 복시나 안구함몰이 심하면 교정을 해야 하니 안성 형 전문의사 진료를 반드시 받아서 상담을 하시기 바랍니다.
3. 안와골절시 코를 풀지 말라는 이유는?
눈을 싸고 있는 뼈는 코와 연결이 되어 있는데, 코를 풀면 골절이 생긴 곳을 통하여 공기가 안와내로 들어가 눈이 심하게 부풀어 오릅니 다. 이를 방지하기 위해서 입니다.
4. 복시로 인해 수술을 했는데 수술 후에도 복시가 있다.
눈 움직이는 근육이 골절부위에 끼어서 눈 운동장애와 복시가 있어서 수술한 경우는 근육을 풀어주고 골절부위를 복원합니 다. 근육이 골절로 인하여 손상을 받고 출혈,부종과 염증이 생기므로 수술 직후에는 일반적으로 수술전과 비교하여 안구 운동 장애와 복시는 호전이 되지만 회복이 되는 시간이 필요 합니다. 일반적으로 2-3개월 정도 시간이 필요 합니다.
수술의 합병증일반적인 감염, 출혈등의 합병증이 있을 수 있으나 흔히 나타나는 합병증는 아닙니다. 수술 후 얼굴과 코 주위에 감각이상이 있을 수 있는데 이는 오랜 시간에 걸쳐 서서히 좋아 지는 것이 일반적입니다.
그리고 아주 드물게 안구내 혈관이 막히거나 시신경 손상으로 아주 드물게 시력손상이 올 수 있습니다.",2009.05.27,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70112&docId=31401142&qb=67O17Iuc&enc=utf8&section=kin&rank=47&search_sort=0&spq=0,복시
8,안와골절 수술 후기..,"저는 2009-10-06 안와 골절 진단을 받았습니다.
 
다음 주 10-12 일 안와 골절 수술을 받았습니다.
 
오른쪽 눈을 술을 받았는데..눈동자가 오른쪽 위로 가 있습니다..
 
그래서 지금 복시 나타 나고 습니다.
 
의사 선생님은 붓기가 빠지면, 원래 되로 돌아 간다고 합니다.
 
1. 언제 쯤 붓기가 빠질까요?
 
2. 흡연과 음주와 관계가 있을까요?
 
3.  붓기가 빠지면 복시가 안 나타 나겟죠?","안녕하세요
 
대한의사협회 네이버 지식iN 의료상담 성형외과전문의 김진왕 입니다.
 
안와골절후 발생한 문제로 고민이시군요
 
직접뵙고 말씀드리는것이 정확하나
 
일단문의 하신 내용상으로 답변을 드리자면
 
수술의 목적중에 하나가 복시의 교정에 있으시므로,
 
안와골절 정복수술후 계속해서 복시가 나타나신다면
 
다시 정밀검사가 필요하실수 있습니다.
 
하지만 부기가 다 빠지지 않으셨다라고 이야기가 되어지므로
 
좀더 경과를 관찰해 보신후
 
시술을 담당하신 성형외과전문의 선생님과 충분히 상의하신후
 
적절한 도움을 받아보실것을 권해드리고 싶습니다. 
 
음주와 흡연등은 수술후 회복을 더디게 할수도 있으므로 조심하시는것이 바람직 합니다.
 
문의 하신 질문에 대한 답변으로 참고가 되셨으면 합니다.
 
감사합니다..",2009.10.30,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70110&docId=28234088&qb=67O17Iuc&enc=utf8&section=kin&rank=48&search_sort=0&spq=0,복시
