,Title,Question,Answer,Date,URL,Keyword
0,0,0,0,0,0,0
0,언어장애때문에..,"안녕하세요 13세 여자입니다!
저는 태어났을때 언어장애였습니다
그리고 지금은 청각장애5급이죠
ㅠ..
소리낼때 바람이 나와야되는데 거의 안나오고요
애들말대로면 혀가 뒤로 말린다고하는데요
ㅠㅠ..
전어떻게 해야하는지 몰라요
다른사람눈에선  그렇게보이는데 제 혀는
말할때 제가 조종하는거같은데..ㅠ
혀가 말린다니까 이상해요 ㅠㅠ;;
어떻게해야하죠 ㅠㅠ..","언어 장애는 말을 만들어내는 발성 기관에 이상이 있는 경우와, 신경 및 뇌에 이상이 있어 발생하는 경우로 구별할 수 있습니다. 환자분의 경우에 뇌신경이나 언어중추에 대한 검사와 더불어 발성 구조물에 이상 유무를 검사해 보시는 것이 필요할 것으로 생각됩니다. 재활의학과를 방문하셔서 전문의와 상담해 보시길 권유드립니다.",2009.11.12,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70120&docId=76685567&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=1&search_sort=0&spq=0,언어장애
1,언어장애 치료할수있나요?,"고2 여학생입니다.
 
제가 말하는 리듬이나 호흡같은게 빨라서요
 
더듬기도하고 일상생활에 많이 지장을 받습니다.
 
이젠 거의 한마디 한마디 떼는게 어려울정도로 시달리고있습니다.
 
심리적압박감도 이루 말 할수 없어요.
 
이 이상 스트레스를 받지 못할 정도로...
※제 언어장애정도는,
   더듬고 발음이 안되는 단어를 돌려서 다른단어로 말하구요.
   어떨땐 엄청 빨리 말해서 애들이 못알아들을것 같은건 아예 말하지도않구요.
   긴 말을 할땐 호흡이 거칠어지고 시선이 불안하구요.
   짧든 길든 쓸데없는 손짓을 막 해요.
   지금은 아예 말을 안하게 혀를 뽑고싶다라는 생각도해요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ심각함
  
*
 
그리고 이상하게 친구들의 관계에 민감해요.
 
조금만 트러블생기고 그 친구의 표정이나 말투에서 제게 차가움이 느껴지면
 
불안하고 초조하고 조금 정신이 없어져요ㅡㅡ;
 
그래서 더더욱 말도 빨라지고 더듬구요.
 
요즘 느끼는거지만, 친구들과 안싸우고 좋게다니면 말도안더듬고 침착하게
 
잘 말할 수 있고 행동도 차분해지더라구요.
 
'어떤애가 나한테 실망한거같다.'라고 느끼는 순간부터
 
계속 어쩌지 어쩌지 이러면서 졸리고피곤한데도 고민하구요.
 
수업시간에도 멍하고 다른애들이랑 대화하고놀때도 신경쓰여서 도무지 웃을수가없어요.
(안믿기겠지만 전 원래 활발하고 애들웃기는걸 좋아하는성격입니다ㅡㅡ; 요즘 말장애랑 저런생각땜에 소심해져서 더 미치겠어요ㅋㅋㅋㅋ)
 
그래서 서울대병원에 언어치료(정신과비슷한?)를 예약했는데요.
 
치료받으면 이 모든게 완치될 수 있을까요?
 
된다면 대략 몇일쯤 걸릴까요?
 
그리고 언어장애라고 판정이나면, 앞으로 진단받은 기록은 쭉 남아있는건가요?
 
그게 앞으로 제게 불리하게 작용하는 점이 있을까요...
 
궁금한게 좀 많은데 성심성의껏 답변해주세요.","안녕하세요?
 
말더듬는 것으로 현재 대인관계나 일상생활에 어려움을 겪는 것으시는 것으로 생각됩니다.
 
치료의 적응증이 되며 치료를 안하고 계속 지낼 경우 대인 공포증이나 자신감 상실, 우울감 등이
 
지속될 수 있습니다.
 
1. 일단 언어 치료를 받게 되면 호전이 있습니다.
 
   하지만 기간이라든지 어느정도의 호전이라든지는 직접 진찰해 보고 결정할 수 있습니다.
 
2. 진단 받는 기록은 남아있지만 이것이 님의 취직이라든지 대학입학이라는든지 하는 부분에 대해서는
 
    영항을 미치지 않습니다. (진료기록은 본인을 제외하고는 알 수 없게 되어 있습니다.)
 
제 생각에는 더이상 힘들어 하지 마시고 치료 시작하시면 호전있을 것으로 생각됩니다.
 
감사합니다.",2009.05.15,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70109&docId=28572997&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=22&search_sort=0&spq=0,언어장애
2,뇌수막종 수술후 언어장애,"지난 8월 5일 갑자기 쓰러져 119구급차로 병원에 왔습니다..
병명은 뇌수막종...왼쪽 이마 바로 위쪽.. 4.5센치 진행된상태였습니다..
10일날..수술을 하였고..
경과는 처음엔 무척 좋아 보였어요..
하지만 22일 퇴원당시...머리가 마니 부었고 혈액이 다 침투되지 않아..
불룩한 정도가 좀 심했습니다(그것때문에 퇴원이 좀  미루어짐)
그동안 내진을 받았고..바쁜 회사일 때문에 출근도 하였습니다...
그런데.....수술전에 없었던 몇가지 징후들이 서서히 나타나네요...
1, 밤에 잠을 잘 못자고...또 잘 깨어나  너무나 마니 힘들어 합니다...
(쉽게 말해  밤낮이 바뀐것처럼..안정을 못함)
2, 갑짜기 말이 잘 안되고...어눌할때가 있다고 합니다..오늘부터..
(항상 그런것은 아니구요...가끔씩 어느순간...  전화 통화시나..대화도중...)
3,신경질적으로  좀 변한것 같아요
4,이마쪽 불룩한 혈액은 언제쯤  가라 앉을까요??
그리고....약은 언제까지 먹어야 되는지..
약으로 인한 부작용은 없는지..
답답한  마음에  두서없이  문의 드립니다...
.
.
본인이 말이 잘되지 않아  무척이나 힘들어 하는군요..
책읽기등..열씨미 노력하고 있는데..노력한 만큼 결과도 좋을지.....
진솔한 답변 부탁 드립니다..","CT/MRI 등을 확인하지 못해 확답드리기는 어려우나, 좌측 전두엽 부위 뇌수술을 한상태라고 하면
언어장애가 발생될 수도 있습니다.
수술이 잘된 상태라고 하면, 좀더 시간을 두고 경과를 봐야 합니다.
전두엽 부위의 경우 사람의 감정및 언어중추 등을 담당합니다.
보통의 경우 이부위에 이상이 있을 경우 신경질적으로 성격이 변하는 것이 종종 발생합니다.
(전두엽 증후군 : frontal lobe syndrome)
수술부위 혈종은 약 2~3주간은 지켜 봐야 합니다. 정상적으로 흡수될수 있을때까지 봐야 하며, 항경련제의
복용은 최소 6개월 이상은 유지 하여야 합니다.
주기적인 MRI 촬영으로 재발 되지는 않는지 담당 선생님과 상의 하여야 할듯 합니다.
도움이 되셨길 바랍니다.",2009.08.27,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70107&docId=28460908&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=25&search_sort=0&spq=0,언어장애
3,넘어져서 두개골 함몰 생명에는 지장이 없는지요?,"거동이 불편한 만성신부전증 환자가  넘어져서(티비받침대 모서리에 찍힘)  왼쪽 귀 후반후 쪽에 엄지손가락이
 
들어갈정도로  출혈과 함께 구멍이 생겼는데 생명에는 지장이 없는지 궁금 합니다
 
당시 많는 출혈은 없었으면 20분 내로 병원으로 후송 했습니다
 
언어장애라던가 후유증는 없는지 궁금합니다","안녕하세요. 하이닥 네이버 지식인 신경외과 상담의 김영준 입니다.
 
지금의 환자의 상태가 가장 중요합니다.
외상이후 환자의 의식이 명료하다면 현재 나타나는 증상이 후유증에 해당할 것이고 환자의 의식이 명료하지 않다면 예후가 별로 좋지 못한 상태라고 생각됩니다.
 
귀 후반부는 보통 두개골이 두껍고 근육층이 단단하여 외상으로 뇌출혈이 생기는 경우가 드물고 만약 그럼에도 불구하고 뇌출혈이 발생했다면 외상의 정도가 심하니까 환자의 상태도 별로 좋지 못할 것으로 생각됩니다.
 
현재 환자가 언어장애가 없다면 앞으로도 없을 가능성이 많습니다.
 
만성 신부전 환자로 투석을 받고 있는 경우에는 조그마한 충격에도 뇌출혈이 쉽게 일어나고 지혈이 되지 않아 조그마한 외상이라 하더라도 심각한 상황으로 진행할 수 있음을 항시 알고 있어야 하겠습니다.
 
감사합니다.",2009.07.15,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70106&docId=27896183&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=44&search_sort=0&spq=0,언어장애
4,재외국민이 뇌경색치료를 한국에서받고자하는 질문입니다,"현 카나다재외국민으로써 09년5월2일 뇌경색이 발병하였습니다
발병시 우측편마비(우측앞면.연하장애.언어장애.팔.다리)였습니다
지금은 앞면95%.연하95%.언어5%.팔0%.다리70% 정도치유되고 있습니다
문제는 여기카나다에서 치료는받고있지만 언어재활이 외국이라 잘맞지 안습니다
환자가 발병하기전 언어능력은 한국어.영어.불어 는 능통하였습니다
현재는 어떤 말이던 같은말을반복해서 구사하고 있습나다
한국말은 알아듣는것 같은데 다른외국어는 잘알아듣지 못하는것 같습니다
그래서 한국에가서 치료를 받고싶은데 재활하는데는 시간을 요하는일이라들 하시길래
비용문제두 만만치 안을것같아 질문드림니다 (*어느정도의 비용을 예상해야하는지도요)
재외국민이 한국에서 받을수 있는 의료해택이나 국민의료보험같은것이 없나해서 문의드리네요
그리고 한국에 제가말씀드린바와같이 잘맞는 재활병원도 추천 부탁드림니다","뇌경색(으로 인하여 우측 편마비상태인데 상지기능과 언어 장애가 문제인 것 같습니다. 그중에도 언어장애를 더 극정하고 계시는 듯 같습니다.
뇌경색환자에서 언어장애는 실어증(aphasia), 발성장애(dysarthria) 등이며 언어치료로서 호전을 봅니다. 실어증은 언어중추의 손상으로 일어나며 motor aphasia(Broca), sensory aphasia(Wernicke), global aphasia 등이 있다. 실어증환자에게 그림, 글자, 실물, symbol 등을 사용하여 이해력과 표현력을 기르고 발성을 훈련시킨다. 노래를 부르게 하여 좋은 효과를 보기도 한다. 우선 이것을 시도해 보시기 바랍니다.
 
국내에서 언어치료를 받을 수 있는 치료기관은 많지는 않습니다. 여기에서는 광고가 허용되어 있지 않아서 죄송합니다. 서울의 몇 군데 대학병원에서는 활발한 것으로 사료됩니다.
의료보험으로 언어치료를 받을 있습니다. 보험자격관계는 따로 알아 보시기 바랍니다. 감사합니다.",2009.07.19,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70120&docId=28183188&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=50&search_sort=0&spq=0,언어장애
5,뇌출혈 수술 후유증,"안녕하세요. 저희 아버지 병으로 인해서 이렇게 문의 드립니다.
너무 자세히 적게 되면 두서 없는 내용이 될까봐 간단히 적어보겠습니다.
 
저희 아버지는 올해 62세십니다.
일단 저희 아버지께서는 작년 6월 1일 뇌출혈로 쓰러지셨으며, 바로 대학병원으로 옮겨져 뇌수술을 받으셨습니다. 수술 후 다행히도 운동신경에는 문제가 없으셨고, 다만, 순간적인 기억력에 조금 문제가 있었으며, 언어에 장애를 가지게 되셨습니다. 언어도 어느정도는 하시는데, 숫자 개념이나 어떤 특정 단어를 엉뚱한 단어로 말씀하시고 있습니다. 현재는 조금씩 조금씩 좋아지시고 있는데, 점점 좋아지시는 속도가 줄어들고 있습니다.
 
그리고, 뇌수술 중 지혈이 잘 되질 않아 주치의 선생님이 혈액쪽에 문제가 있다는 말씀을 듣고 골수 검사를 통해 적혈구 증가증을 가지고 계셨으며, 그로 인한 뇌출혈이 발생되었다는 얘기를 들었습니다.
그 후에는 계속 혈액내과에서 적혈구 수치를 관리 받으셨습니다.
 
또한, 뇌수술 받기 전에 이미 탈장이 되었다는 진단을 받으셨으며, 탈장 수술 날짜를 잡아 놓고 탈장수술을 몇 일 남겨 두고 뇌출혈로 쓰러지셨습니다.
 
뇌수술 후 얼마 정도 안정이 되신 후에 바로 탈장 수술을 하려 했으나, 주치의 선생님이 뇌수술 시에 했던 전신마취에 대한 문제로 얼마 전 (09. 4.16일)에 탈장 수술을 받으셨습니다.
 
이상이 현재 아버지의 상황이며, 아래는 문의 드릴 내용입니다.
 
1. 뇌수술 후 언어장애에 대한 치료는 어떻게 진행해야 할지요? 집에서 할 수 있는 방법들로 부탁드립니다.
    현재는 단어카드나 초등학생용 한글 책을 보고 계십니다.
   (재활병원을 돌아다녀 봤지만, 통원치료로 언어장애 치료에 대해서는 대부분의 병원들이 받아주질 않으려합니다.)
 
2. 아버지께서 탈장 수술 후 뇌수술 후에도 보이질 않으셨던 이상 행동들을 보이십니다. 뇌수술 후에는 전과 성격이 다르질 않으셨는데, 탈장 수술 후에는 의자를 손으로 때리시거나, 벽을 주먹으로 치시기도 합니다. 또한 주무시다가 어머니를 부르시고 손을 잡아 달라고 하시기도 합니다.
탈장 수술이 생각보다 힘드셔서 그런건지 혹시나 마취 후 후유증인지 아니면, 뇌출혈로 인한 문제가 지금 다시 찾아오는 건지 정말 걱정되서 문의드립니다.
또한, 탈장 수술 후 배가 많이 팽창된 상황이시고, 아직까지 많이 아파하시는데 괜찮은 건지 알고 싶습니다.
 
감사합니다.","안녕하세요, 하이닥 네이버 지식인 신경외과 상담의 김영준 입니다.
 
질문감사드립니다.
 
많은 걱정과 염려가 있으시겠지만 포기하지 말고 최선을 다해서 치료 받으시길 바랍니다.
 
1. 뇌수술 후 언어장애가 발생하는 일은 빈번한 일입니다.
뇌출혈이 발생한 부위에 따라서 언어장애의 행태가 조금씩 다르게 나타나게 되는데 좌측 뇌의 언어 중추에서 뇌출혈이 발생했다면 언어장애는 회복되기 어렵습니다. 하지만 우측 뇌의 뇌출혈이라면 노력하는 정도에 따라서 회복될 수도 있습니다.
처음에 발성을 위주로 연습을 하고 소리를 내는 것이 자신의 생각하는 만큼 조절이 되면 단어나 말도 소리를 구분할 수 있을 정도로 낼 수 있을 것입니다. 책을 큰 소리로 읽는다든지 노래를 크게 따라 부른다든지 하는 방법을 사용해 보십시오.
 
2. 전신마취로 인한 뇌손상이 있었을 것 같습니다.
뇌출혈이 생기면 뇌출혈이 발생한 곳의 뇌세포들이 전부 다 죽는 것은 아니고 가역적으로 세포들이 살아날 수 있는 부분들도 있을 것입니다.
한데 전신마취를 하게 되면 이렇게 가역적으로 살아나거나 재생될 수 있는 세포들의 손상을 피하기 어렵습니다. 또한 뇌세포들은 3억 가량 되지만 이들이 각각 독립되어 있다기 보다는 일정한 상관성을 가지고 있습니다. 이들 세포간의 상호연락이 끊어지게 되면 복합적이고 고차원적인 사고를 진행하는데 어려움이 발생하게 됩니다. 
뇌대사항진제 등을 장기간 복용하면서 경과를 관찰하셔야 할 것 같습니다.
 
감사합니다. 도움이 되었으면 합니다.",2009.04.20,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70107&docId=27758995&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=51&search_sort=0&spq=0,언어장애
6,뇌출혈 중상,"저희 아버지 이야기입니다 저희아버지 가 뇌출혈 로 쓰러지신지 3년 반이 넘어가는데
요즘 상태가 많이 안좋아 서 어떻게 해야할지 고민중에 잇습니다.
1차뇌출혈 잇으시고 1년 좀지낫다가 2차뇌출혈로 반신마비 언어장애 까지 얻어 2년 지금혀제 까지 집에 병간호 중인데  예전에는 밥 은 잘드셧는데 6개월 지나고 밥을 잘못드셔 죽을 써드리고 잇습니다.
근데 최근에는 죽도 못드시고 그나마 대변 은 옆에서 잡아주기만하면 움직여서 잘보고 소변은 아버지가 알아서 오줌 통으로 잘보고 하셧는데 최근들어 소변도 못보시고 보시면 자꾸 새고 이젠아예 움직이지도 못하심니다  그래서 매일 이불을 젹셔 빨래하기가 어려워 귀저기를 착용하시는데 그것도 소변이 자구 세어 나와 힘듬니다 예전에 는 tv 시청하실때 도 자기가 원하는채널 돌려 가며 잘보고 하셧는데 이제는 눈초점 이없으신지 고개는 정면으로 뜬채 눈은 옆으로 치켜 뜬채 채널만 계속 돌리고 계심니다 가끔가다 아~ 오~  이런 소리만 하시고 어떻게 해야할지 정말 걱정 임니다 이러다가 정말 잘못되시는건 아닌지 걱정임니다 어떻게해얗는지 정말 저희아버기 심각해지고있는건지 알고싶습니다.","네이버 지식in 답변을 하고 있는 신경외과 전문의 입니다.
 
뇌출혈이 있으셨군요
 
최근에 병원 진료를 받으신적은 언제이신가요?
뇌출혈로 수술 받지는 않으셨나요?
몸에 열은 없는지요?
 
증상이 더 악화되고, 환자의 의식 저하가 동반된다면, 반드시 진료를 받아보셔야 합니다.
이차적인 뇌출혈도 걱정되지만, 그 보다, 뇌출혈후에 주위 뇌손상과 더불어, 퇴행성 변화까지
동반되었을 가능성이 높으며, 대소변 장애및 언어장애까지 동반되었다면,
뇌수두증이 뒤늦게 발생되었을 가능성이 있습니다.
즉, 뇌를 둘러싸고 있는 물주머니 들의 순환이 잘 안된다는 뜻이죠.......
 
일단, 가까운 신경외과 병원에서 다시한번 진료를 받아보시고, 머리 CT 촬영을 통해
변화 양상을 봐야 합니다.
 
혼자서 너무 걱정하지 마시고 진료후에 향후 치료를 받으시길 바랍니다.
 
도움이 되셨길 바랍니다",2009.12.12,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70107&docId=100810530&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=58&search_sort=0&spq=0,언어장애
7,뇌경색 환자의 증상에 대해 궁금한점이 있어서요 -,"아버지가 뇌경색 판정을 받고 1년정도 지난 것 같네요 
 
일단 아버지는 당뇨, 고혈압, 만성신부전증을 가지고 계시구요 ..
1년 전에 스트레스를 많이 받는 일이 있으셔서 그것때문에 색전이 튀어 뇌경색이 발병했다고 하네요
 
뇌경색때문에 다른 장애는 생기지 않았지만 뇌경색으로 인한 언어장애 (실어증)을 가지고 계십니다. ..
지금까지 계속 한달에 한번씩 정기검진도 받으시고, 요새 식사조절도 잘 하셔서 다른 부분은 괜찮으신 것 같은데
성격적인 변화가 문제입니다...
 
평생 욕이라고는 입에 담지도 않으시고 성격이 좀 급하시긴 했지만 뇌경색 발병 초기에도 이렇진 않았는데
계속 ""싫어, 안해, 못해""라는 말을 자주 하시면서 아무것도 안하시려고 하시고, 식탐도 전보다 느셔서
신부전때문에 드시면 안되는 음식도 계속 먹으려고 하시고 .. 엄마한테 평생 안하던 욕을 하시고 하니까...
 
혹시나 뇌경색때문에 이러시는건지 아니면 혈관성 치매가 오는것인지 걱정이 됩니다.
지난달 정기검진까지는 신경외과 의사선생님께서 별 문제 없다고 말씀하셨거든요 ..
 
아버지 연세는 67세입니다. 답변부탁드려요 ㅠㅠ","혈관성 치매는 말그대로 다발성 뇌경색에 의해,
 
 전반적인 뇌 기능이 떨어지면서 생기는 치매증상을 말합니다.
 
 치매에 준하는 기억력 장애나 이상행동등이 있는 경우를 말합니다.
 
 뇌경색부위에 따라 성격의 변화가 물론 생길수 있습니다.
 
 언어장애가 있으신 분들이 성격의 변화가 흔히 오곤 합니다.
 
 하지만 뇌경색에 의한 실어증과 신장질환등에서오는 스트레스로 인해
 
 우울증상등이 생겨도 상기 증상이 나타날수 있습니다.
 
 행동이나 성격에 심한 변화 소견이 보이면 신경정신과 진료도 한번 고려해보심이 좋을것 같습니다.",2009.01.13,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70107&docId=28109303&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=71&search_sort=0&spq=0,언어장애
8,모야모야병에 걸렸어요..현재 신경과를 다니고있는데 신경외과를 가야하는거 아닌가요?,"29세된 남자입니다.


다름이 아니라 작년(2008년) 6월23일에 뇌경색과 모야모야병이 발생됐는데요..


오른쪽 반신불수 및 언어장애가 왔습니다..


그러다 현재는 오른쪽 손과 다리는 잘쓰지는 못하지만 쓸수있구요,


언어장애도 처음에는 아예 말도 못했는데 이젠 말도 조금합니다.


하지만 처음에 있던 팔에 핏줄과 다리굵기는 많이 안좋아 졌습니다.


수술은 안받은 상태구요..


좋아지고 있으니까 수술은 안해도 될거 같은데..


만약에 하게되면 어느정도나 대략적으로 나올까요..?


이제는 경과만 3달 걸러 보시는데 신경과에서 말이없네요..


신경과로 가야되는지 아니면 신경외과로가야 하는지 몰라서 이렇게 글올립니다..","안녕하세요. 하이닥 네이버 지식iN 신경과 상담의 이한승입니다.
 
모야 모야 병은 아직까지 약물치료법은 뚜렷하지 않습니다.
물론 현재 모야 모야 병의 합병증으로 발생한 뇌경색 등에 대해서는 비수술적인 보존적 치료를 하셨을 것입니다.
 
하지만 어느 정도 시간이 지나면 EDAS 등의 혈류 우회 수술을 고려해야 합니다.
 
이러한 수술을 신경외과에서 실시를 하며, 현재 다니고 계신 병원에서 신경외과에서 수술을 원하신다고 하시면 아마도 자세하게 안내해 주시지 않을까 싶습니다.
 
어서 나으시길 기원합니다.
 
문의에 도움이 되었기를 바랍니다. 감사합니다.",2009.06.18,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70108&docId=28602004&qb=7Ja47Ja07J6l7JWg&enc=utf8&section=kin&rank=72&search_sort=0&spq=0,언어장애
