,Title,Question,Answer,Date,URL,Keyword
0,0,0,0,0,0,0
0,목마름도 쇼그렌증후군 증상인지요,"몇 년 전부터 목에 무엇인가 걸린것같아 잠을 자기가 곤란할 정도였습니다. 음식을 먹으면 아무렇지 않은데 맨입으로 침을 삼키면 무엇엔가 걸려 침이 넘어가지 않는것 같아 이비인후과병원에 갔으나 신경성으로 아무런 이상이 없다고 하였습니다. (참고로 저는 어릴적 목에 나력이라는 병을 앓았습니다 .-6년전에는 안면마비를 앓았었구요)
지금은 목이(입이 아니) 깡 마른듯한 느낌도 듭니다. 새벽에 교회에 가서 찬송을 부르면 입이 마른 느낌으로 곤란을 느끼며, 기도시에도 침을 삼키거나 물을 마셔야하지만 근본적인 깡마른듯한 느낌은 그데로입니다. 건조하여서 어느땐가는 양말이 자주 돌아가고 눈은 갑자기 시력이보다는 난시처럼 정확성을 잃고 색깔이 뿌옇습니다. 나이 때문이려니 했는데 질의 분비액도 많이 없어진 느낌입니다. 쇼그렌증후군의 증상일까요.전남 목포에 사는데 무슨과로 진료를 받아야하는지요","쇼그렌 증후군은 자가 면역 질환의 일종으로 몸에 있는 분비샘을 자기 스스로 공격하여 파괴시키는 병입니다. 증상으로는 입마름, 건조증, 안구건조 등이 있으며 기본적으로 몸에 윤활유가 부족해서 뻑뻑한 느낌이 드는 병입니다. 치료는 이러한 증상의 완화와 더 악화 되는 것을 막는것에 있으며 전남 목포시라면 가까운 종합병원 내과에서 류마치스 내과로 내원하시는 것이 올바른 선택으로 생각됩니다.
 
잘 치료 받으시길 기원합니다.",2009.02.05,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70102&docId=26872227&qb=66qp66eI66aE&enc=utf8&section=kin&rank=5&search_sort=0&spq=0,목마름
1,갈증이 너무 심합니다.,"요근래 들어 너무 갈증이 심함니다.. 낮에는 그냥 목마름 정도인데. 밤만되면 목을 무언가로 막혀있는듯한 느낌으로 밤만되면 2리터정도를  마십니다. 1달전 건강검진에는 간장질환 의심이라고 나와있을뿐, 다른 이상은 없었고요. 하루에만 2kg 빠졌습니다.  소변량도 그리 많지않은 편입니다.  가끔씩은 왼쪽 가슴아랫부분이 부어오른듯한 느낌을 받슴니다. 이증상은 2년전부터 왔었습니다. 3개월전 병원에서 btp 수치가 일반인보다 높다고 나왔습니다. 고모의 경우에는 2003년 당뇨로 인해 돌아가셨고요. 아버지도 당뇨약 복용중이시며 그외에는 다른것은 없습니다.","안녕하세요. 하이닥-네이버 지식인 가정의학과 상담의 고완규 입니다.
 
당검사부터 해 보시는 게 가장 빠르시지 않을까요?
건강은 건강할때 지키는 것이 중요하니까요.
 
갈증도 증상이지만 혈당이 정확하지요.
더군다나 가족력도 있으시고 체중도 문제가 있습니다.
 
먼저 당뇨식이에 대해 알려 드리자면,
가장 중요한 것은 절식으로 식이요법을 철저히 하셔야 합니다.
체중감량과 운동에 신경을 써 보시기 바랍니다.
과일도 피하시는 것이 좋으며 음주와 흡연은 피하셔야 합니다.
 
당뇨 시 합병증에 대해 알려 드리겠습니다.

당뇨병성 합병증은 크게 급성 합병증과 만성 합병증으로 나눌 수 있습니다.
 
1) 급성 합병증에는 주로 혼수상태를 초래할 수 있는
당뇨병성 케톤산증과 고삼투압성 혼수가 해당됩니다.
이러한 급성 합병증은 당뇨병을 치료하지 않고 있거나 치료가 불량한 경우
혹은 다른 급성 질환(예: 뇌졸중, 심근경색증, 심한 감염)이 겹친 경우에서
주로 발생되고 응급치료가 요구됩니다.
 
2) 만성 합병증은 당뇨병성 망막증, 신증, 신경병증과 같은 미세혈관 합병증과
뇌혈관, 관상동맥, 말초혈관 질환과 같은 대혈관 합병증으로 나눌 수 있습니다.
이러한 합병증의 문제점은 실명, 만성신부전증, 신경장애 혹은 마비, 뇌졸중, 협심증,
심근경색증, 당뇨병성 족부괴저 등의 심각한 상태가 발생될 수 있다는 점입니다.
 
그러므로 빠른 진단과 빠른 치료가 필수이지요
 
당뇨는 치료라는 개념보다는 평생 관리해야 하는 질병으로
꾸준한 관리가 필요합니다. 주치의의 지식대로 철저히 관리하는 것이 중요합니다.
 
만약 검사 후 당이 높다면 치료를 받으시고
철저한 당관리에 좀 더 신경을 쓰실 것을 권합니다.
 
건강을 기원합니다.",2009.08.20,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010106&docId=28743466&qb=66qp66eI66aE&enc=utf8&section=kin&rank=14&search_sort=0&spq=0,목마름
2,다이어트약 부작용,"식욕억제와 대사작용을 활발하게 해준다는 다이어트약을 구매했습니다.
어제까지 4일정도 먹었는데요..
혀가 자꾸 말려들어갑니다.ㅜㅜ
어제 밤에 그래서 자다가 죽을까봐 너무 놀랐는데 전날에는 부작용이 불면증으로 와서
40시간가량 잠을 못잤기때문에 정신은 계속 깜빡깜빡거렸구요.
다행히 잠들었을때는 괜찮아지는것 같아서 나은줄 알고 자고 일어났더니 일어나니 또 그러네요.
지금도 계속 의식하지 않으면 말려들어가서 기도가 막힙니다.
그리고 팔에도 힘이 없고 약간 찌릿찌릿한 느낌이 있습니다.
머리는 완전히 바보가 된것같구요..ㅠㅠ
뇌가 너무 둔해져서 컴퓨터에 버퍼링 걸리는것처럼 버벅댑니다.
일시적인 증상일까요?
 
 
그밖에 뭐 두근거림, 메스꺼움, 어지러움, 목마름같은 사소한(?)부작용도 있었는데
이건 약을 안먹으니까 어느정도 가라앉았구요.
진짜 완전 후회하고 있어요..ㅠㅠ
이런거 처음 먹어봤는데 정신이 번쩍 들었습니다.
혹시 뇌신경에 영구적으로 손상이 온건 아닌지 너무 겁이 납니다.","안녕하십니까? 가정의학과 전문의 곽정일입니다.
 
다이어트 약에는 여러 가지 조합이 있습니다. 식욕을 억제시키는 약물부터 기초 대사량을 항진시켜 에너지 소비를 빨리 시키는 약물, 자율신경계에 작용하는 약물, 장에서의 흡수를 저해시키는 약물까지 다양한 약물이 사용됩니다.
 
님께서 어떤 약을 처방받으셨는지 모르겠으나 식욕억제제의 경우의 대표적인 부작용은 불면증과 변비가 있으며 자율신경계에 작용하는 약물의 병합 처방인 경우 입마름 현상이 나타날 수 있습니다. 영구적인 손상을 일으키는 경우는 거의 없으니 너무 걱정하지 않으셔도 되구요. 처음 다이어트 약을 처방받으시는 분들은 상당 부분 겪는 부작용입니다. 일시적으로 나타났다가 지속적인 약물 복용시 서서히 증상이 없어지는 경우가 대부분구요. 불편함 정도가 심하면 전문의와 상담하여 용량을 줄이거나 다른 약물로 대체하는 방법을 고려하실 수 있습니다. 증상은 약을 끓고 수일내에 정상으로 돌아오는 것이 대부분이니 너무 걱정하지 마시고 전문의와 상담하시길 권유합니다. 감사합니다.",2009.05.02,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=27374752&qb=66qp66eI66aE&enc=utf8&section=kin&rank=102&search_sort=0&spq=0,목마름
3,조울증이있는건가요...,"원래도 그랬지만 고등학교 들어오면서 더 심해진거같아서요;
 
매일 힘도없고 매사에 짜증이납니다. 피곤하구요.
그냥 가만히 있다가도 슬퍼지고 막 짜증나고 특히 학교에서 웃다가도
친구가 마음에 안들면 짜증나고 갑자기 기분 안좋아지고 ..
 
그리고 남자아이들이 자꾸 저를 비웃고 욕하는 기분이 계속 들어요
거기에 계속 신경쓰이게되고 왜그럴까 생각하고. 알고보면 제가 아닐수도있는데 자꾸 저같아서 마음이 쓰이고
정신적으로너무 힘들어요.
그리고 남자애들이나 여자애들이나 장난치고 다음날 저에게 장난을안걸면 날싫어하나 하는생각이들구요.

노래를 듣고 있어야 안정이 되는거 같구요, 음악 안들으면 뭔가 기분이 이상하구요.
매일 멍하게 있어요. 공부는 잘하는 편인데 시험기간인데 집중도 안되고 미치겠어요.
그냥 제 자신도 싫고 살기도 싫은데 죽기가 무서워서 싫구요.
계속 못생겼다 뚱뚱하다 이렇게 생각하고살아서 신경쓰이구요 다이어트도 해봤고..
 
무엇보다 애들이 저를 욕하는거 같은 기분이 계속들고그래요. 낙천적인성격이여서 이런건 그냥 얼굴에철판깔고 넘기고싶은데 그렇게 안되요. 이게 더 심각해진거같아서 진짜 머리가 미칠것같아요. 수업시간이나 가만히 앉아있을때 항상 나도 모르게 다리 떨고 있고. 다리 떨던거 멈추면 이상해서 계속 떨고. 아니면 다리를 꼬고 있어야 편안하던가요. 손에 종이나 휴지같은거 있으면 항상 찢어요. 계속 찢고 다찢으면 새종이다시찢고... 아니면 종이접기를하던가요. 펜을 돌리던가 가만히 있지를 못해요.
 

기분이 막 좋았다가 갑자기 다운되서 미칠듯이 짜증나구요. 짜증난다는말을 입에 달고 살아요.
잠을 못자는건 아닌데 제가 상상을 자주해요. 과대사고? 막 별별상상을다하구요 가끔씩은 하루종일 그 상상에 빠져살때가 있구요. 여튼 망상이너무심해요. 어쩔땐 말하는것도 심하게귀찮다가 갑자기말도 많아지고..","안녕하세요.
 
하이닥 네이버 지식인 정신과 상담의 최성환 입니다.
  
조울증 이 있는 것은 아니고, 범불안장애 Generalized Anxiety Disorder ; F41.1(ICD분류번호)에 해당되므로, 스스로 극복되던지, 아니면, 의존성이 없고 쳐짐이 없는 항불안제를 선택적으로 복용하실 수 있습니다.
 
현재 상태는 그리 심각한 상태는 아니군요.
 
그리고 조울증 아닙니다.
 
조울증과 비슷한 것이 기분순환증 - Cyclothymia F34.0 이란 것이 있으나, 역시 해당되지 않는 듯 합니다. 
 
범불안장애
 
기본적인 임상 특징은 광범위하고 지속적인 불안으로서 어떤 특정한 환경조건에 한정되거나 또는 이들 환경조건에서 특히 강력하게 나타나는 불안이 아닌 경우를 말한다(즉, "" 떠도는 불안 "", "" Free floating anxiety). 다른 불안 장애와 마찬가지로 주 증상은 매우 다양하지만 지속적인 신경과민의 느낌, 전율, 근육긴장, 발한(식은땀 發汗), 두중감(머리가 무거움 頭重感), 심계항진(심장이 매우 빨리 세게 뜀), 어지러움 그리고 위장의 상부 불쾌감 등을 흔히 호소한다. 환자 자신이나 친척이 곧 병들거나 사고를 당하게 될 것이라는 두려움이 자주 언급되고 이와 함께 다양한 여러 가지 다른 근심과 예감이 표현된다. 이 장애는 여성에서 더 흔하고 만성적인 환경적 스트레스와 관련된 경우가 많다. 경과는 다양하지만 변동이 심하고 만성화하는 경향이 있다.
 
환자는 최소한 한번에 수주일 동안, 그리고 대개 수개월 동안 거의 매일 일차적인 불안증상을 가지고 있어야 한다. 이와 같은 증상에는 대체로 다음의 요소들이 포함된다:
 
1. 근심(장차 닥쳐올 불행에 대한 근심, "" 낭떠러지에 서 있는 듯한 느낌 "", 집중력 곤란 등)
2. 운동성 긴장(안절부절 못함, 긴장성 두통, 전율, 마음을 놓지 못함(이완의 불능 : 근육이 쪼여드는 듯 하여 몸을 이완시키기 힘들다)
3. 자율신경 기능의 항진(두중감, 발한 또는 빈호흡, 위상부 불쾌감, 어지러움, 구갈(목마름,입이마름) 등)
 
감사합니다.",2009.04.13,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70109&docId=28479519&qb=66qp66eI66aE&enc=utf8&section=kin&rank=204&search_sort=0&spq=0,목마름
4,알수 없이 불안해질때가 있습니다.,"저는 저도 모르게 갑자기 불안하고 숨을 쉬기가 힘들때가 있는데요..
 
평소에는 정말 아무렇지 않다가
 
제가 문득 답답함을 느끼는 순간이 오면 다리에 힘이 풀리고 땀이 나고 죽을꺼 같이 숨을 못쉬겠어요...
 
예를 들면 (이건 아주 가끔) 버스가 잘 달리다가 진입로 같은데가면 막힐때가 있자나요...그럴때랑
 
비행기를 탈때가 아무 심해집니다..
비행기는 창문도 열수없고 내 마음대로 다음 정거장에 내릴수 없으니깐 
그냥 이런 생각이 들면서 너무 불안해지고 위에와 같은 증상이 나타납니다..
 
하지만 그냥 제 생각에만 그럴뿐이지 특히 어떤 병이 있는것 같지 않아요..
 
처음부터는 안그랬는데...비행기를 타고 고생을 한번 크게 한적이 있어서 그 다음부터 그러는것 같아요...
또 그럴꺼 같다는 불안감에........심해지는것 같아요...
 
 
제가 뉴욕으로 곧 대학원을 가게 되어서 비행기를 타야될것 같은데..
 
비행시간이 14시간이나 되서 너무 무섭습니다...엄마도 없고 혼자 가야되는데,,,,,,,,,
 
물론 가까운곳은 조금 불안하긴 하지만 여행도 다니기도 했어요..일본이나 중국 태국...그때마다 전 완전 긴장상태가 되서 기내식은 물론 물 한모금도 먹기 힘들었어요..ㅠㅠㅠ
 
그런데 제가 생각해도 웃긴게 가까운 제주도나 여수 짧은 거리를 갈때는 빨리 도착한다는 안도감에 아무렇지도 않아요.......제가 생각해도 전 왜이럴까요?ㅜㅜ
 
가족들은 그냥 심리적인것이라고만 하고...걱정말라고 안죽는다고 하는데.......
 
물론 안죽긴하겠지만........전 너무 무서워요..ㅠㅠㅠ
 
뉴욕을 가긴가야될꺼 같은데,,,,,,,,엄두가 안남니다..ㅠㅠㅠ
비행기못타서 어렵게 얻은 입학허가를 나릴수 없지만.....그냥 지금 생각만해도 무서워요... 
 
 
처방이나 약같은건 없나요?
약보다는 심리적으로 안정할수 없는 방법이 없나요?
 
 
 
전 비행기만 잘 타면 저하테 오점이 없다고 생각해요,,,,,,ㅋㅋ
전 왜 비행기를 무서워할까요? 아무리 고민하고 생각해도 그냥 정말 그냥 무서워요.............
 
좀 도와주세요..........
 
그리고 만약 제가 약물이나 심리치료로 비행기에 대한 두려움을 없앨수 있다면 병원같은곳도 가르쳐 주세요...","안녕하세요.
 
하이닥 네이버 지식인 정신과 전문의 최성환 입니다.
 
범불안장애 Generalized Anxiety Disorder ; F41.1(ICD분류번호)에 해당지만, 덤으로 공황장애 ; F40.00, F40.01(ICD분류번호)증상이 있으시군요. , 스스로 극복하던지, 아니면, 의존성이 없고 쳐짐이 없는 항불안제를 선택적으로 복용하실 수 있습니다.
 
예, 그 오점을 없앨 수 있습니다. 비밀이지만 가츠쳐 드리겠습니다.
그리고, 아래의 범불안 장애를 참조하세요.
 
심리적인 방법을 훈련하려면, 항공학교나, 공군사관학교에 입학하시는 것이 좋겠습니다.
그러나, 세상일은 쉽게 해 나가야 합니다. 요즘도 자기 신을 짚신을 짜는 사람들이 있던가요?
 
정신과나, 신경정신과에서 (그것마저 싫다면, 사시는 지역이 내과나 가정의학과에 가서 처방을 받으세요.)
처방내용은 다음과 같으며, 약 또한 매우 안전한 약입니다. 공항에서 대기할 때 드시고, 중간 비행 중에 드시도록 하십시오.
 
처방 : tofisopam 혹은 tandospirone + inderal
 
단 주의사항 : 심장의 WPW 증후군 환자나, 키니네를 복용중인 사람은  inderal 복용이 금기임.
정황상, 약 성분명만 적었고, 제품을 적지 못하는 점 이해 하시기 바랍니다.
이렇게 드시고 성공하신 분이 많아서 소개 합니다.
 
필요하다면, 이 글을 프린트 해서, 병원을 방문하셔도 좋습니다.
 
범불안장애
 
기본적인 임상 특징은 광범위하고 지속적인 불안으로서 어떤 특정한 환경조건에 한정되거나 또는 이들 환경조건에서 특히 강력하게 나타나는 불안이 아닌 경우를 말한다(즉, "" 떠도는 불안 "", "" Free floating anxiety). 다른 불안 장애와 마찬가지로 주 증상은 매우 다양하지만 지속적인 신경과민의 느낌, 전율, 근육긴장, 발한(식은땀 發汗), 두중감(머리가 무거움 頭重感), 심계항진(심장이 매우 빨리 세게 뜀), 어지러움 그리고 위장의 상부 불쾌감 등을 흔히 호소한다. 환자 자신이나 친척이 곧 병들거나 사고를 당하게 될 것이라는 두려움이 자주 언급되고 이와 함께 다양한 여러 가지 다른 근심과 예감이 표현된다. 이 장애는 여성에서 더 흔하고 만성적인 환경적 스트레스와 관련된 경우가 많다. 경과는 다양하지만 변동이 심하고 만성화하는 경향이 있다.
 
환자는 최소한 한번에 수주일 동안, 그리고 대개 수개월 동안 거의 매일 일차적인 불안증상을 가지고 있어야 한다. 이와 같은 증상에는 대체로 다음의 요소들이 포함된다:
 
1. 근심(장차 닥쳐올 불행에 대한 근심, "" 낭떠러지에 서 있는 듯한 느낌 "", 집중력 곤란 등)
2. 운동성 긴장(안절부절 못함, 긴장성 두통, 전율, 마음을 놓지 못함(이완의 불능 : 근육이 조여 드는 듯 하여 몸을 이완시키기 힘들다.)
3. 자율신경 기능의 항진(두중감, 발한 또는 빈호흡, 위상부 불쾌감, 어지러움, 구갈(목마름, 입이 마름) 등)
 
감사합니다.",2009.04.15,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70109&docId=28380785&qb=66qp66eI66aE&enc=utf8&section=kin&rank=249&search_sort=0&spq=0,목마름
5,펩타천에 대해 알고싶습니다^0^,"얼마전에 한 성형외과에서 팔 지방흡입을 했는데요..
 
수술 후 3개월동안은 절대 살이 1kg도 찌면 안된다고해서 식욕억제제를 받았어요..
 
아마 처방전에 펩타천 이라고 쓰여있었던거 같아요;;
 
근데 제 친구가 이 약을 먹어봤는데 몸에 굉장히 안 좋다고 얘길 하더라구요.
 
그 대신 식욕억제 효과는 최고라고 하더군요;;;
 
전 지금 현재 한의원에서 준 총명탕 복용중이구요.
 
술은 1주일에 3번정도 마십니다. 담배는 안하구요.
 
이 약의 부작용이 의사샘말론 목마름과 불면이라던데.. 몸에 얼마나 안좋나요?
 
좀 더 자세히 알려주시길바래요^0^","안녕하세요, 대한의사협회 네이버 지식iN 상담의사 성형외과 전문의 박정근입니다.

약이름은 아마 펜디씬이나 펜디라진 정도일 것으로 생각됩니다.
사실 위의 약은 일종의 마약성분입니다. 식욕억제효과는 뛰어나지만, 지속적으로 사용을 할 경우 문제가 생길수밖에 없는 약들입니다. 여러 문제들 때문에 유럽에서는 사용이 금지되어 있는 약이고, 미국에서도 장기적인 사용을 금하고 있습니다. 3개월이라고 하셨는데 이 약을 지속적으로 쓰기엔 사실 긴기간입니다.
수술까지 받으셨는데, 가능하다면 약을 쓰지 않는 것이 최선이고, 약을 쓰더라도 4주 이내로 쓰는 것이 바람직합니다.",2009.05.05,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70110&docId=26877368&qb=66qp66eI66aE&enc=utf8&section=kin&rank=267&search_sort=0&spq=0,목마름
6,"신종인플루엔자건인데, 조금 급합니다!","저는 고3학생인데요, 원래 비염이 있습니다.
 
환절기이다 보니 비염에 코감기가 더해져서 최근에 콧물이 자주 나곤 했는데요,
 
저번 일요일에는 열까지 났습니다. 그런데 감기는 계속 없었고, 단순 몸살인것같지만
 
열이 나는 관계로 오늘 학교에는 가질 못했습니다.
 
그런데 아침에 잠깐 콧물이 났던 이후로 어떤 약도 먹지 않았는데
 
현재 열도 안나고 콧물도 없으며 기침은 계속 없습니다.
 
신종인플루엔자 증상 중 하나라고 하는 목마름(?)이라던가 머리아픔같은건
 
제가 자주 '진짜 신종플루인가?' 할때 괜히 그런것 같은 정도지
 
실제로는 그런 증상이 없습니다.
 
그래서 제가 다시 등교를 하려는데, 주위 분들이 걱정이 많으시거든요...
 
그러다가 혹시 제가 신종플루면 주위 사람들까지 모두 위험하니까...
 
그런데 저는 현재 그런 증상이 하나도 나타나지 않는데, 그런데도 신종인플루엔자에 걸릴 수 있나요?
 
병원에서도 (물론 작은 병원이지만) 그냥 감기에 약간 몸살기라고 하시고
 
검사를 받으려면 큰 병원 가서 14만원정도 내야된다는데 그건 제게 무리고
 
제가 혹시 나중에 감염 환자를 만나서 병에 걸릴 수 는 있겠지만,
 
지금 현재 제 상태로는 신종인플루엔자에 걸렸다 보기는 힘들지 않을까요?
 
답변 부탁드립니다. 감사합니다.",체온을 측정해 보시고 열이랑 다른 증상이 없다면 등교를 해도 될것 같네요. 뭐 혹시 불안 하다면 마스크를 착용하시면 됩니다. 열이 잠시 올랐다고 하더라도 감기 였을 수도 있죠. 지금 증상이 없다면 괜찮습니다. 고3이라 한창 스트래스 많이 받을 상황 일텐데 충분한 비타민 씨를 챙겨 드시고 면역성을 올리 도록 하세요. 면역성이 좋다면 크게 걱정 하실 것은 없답니다.,2009.09.21,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=28652747&qb=66qp66eI66aE&enc=utf8&section=kin&rank=430&search_sort=0&spq=0,목마름
7,이게소아당뇨병증세인가요?,"아 제가 원래 네이버 뉴스를 즐겨보거든요.그런데 화장실자주가면당뇨?라는 제목으로 기사가하나떳더군요.
그래서 나와 비슷하다.혹시 나도 당뇨인가?하고 보았습니다.그런데 저와매우비슷했습니다.아래증상들이 일어나면 저도 소아 당뇨인가요?근데 지금까지 소변검사할때는 한번도 당뇨라고 나온적은없는데요.
 
   증세
 
1.오줌이 자주마렵다.
2.갈증이 쉽게난다.(그런데 물좀만마셔도 갈증이해소됨)
3.하루에 거의 1개씩은 무조건 아이스크림이나 과자 둘중하나 이상은 먹는데......살이 않찌고 요모냥이다;; ㅜ(거의 단음식을 즐겨먹는다.;;자랑은아님)
 
이러면 저 소아당뇨인가요?(참고 소변검사할때 당뇨라고 나온적없음;;
 
근데 질문하나만할게요.당뇨랑 소아당뇨랑 뭐가달라요?","걱정이 많이 되시겠네요.
 
당뇨는 체내에서 혈당을 조절하는 인슐린의 분비가 이상이 있거나, 체내의 기관이 인슐린에 대한 저항성을 가지는 경우에 진단을 합니다.
 
따라서 다음(많이 마시고), 다뇨(소변을 자주보고), 다갈(목마름이 자주되는) 이러한 증상이 당뇨의 증상이라고 하긴 하지만, 특별한 증상만으로 진단을 할 수 없습니다.
 
결국 소아 당뇨에 대한 걱정이 된다면, 혈액을 채취해서 혈액내의 혈당 농도가 정상치 보다 높은가를 보는 것이 가장 확실한 방법입니다.
 
또, 당뇨의 경우 1,2형으로 나뉘며, 앞서 말한 인슐린이 적게 분비되는게 1형이며, 인슐린에 대한 저항성을 보이는게 2형이라고 보시면 됩니다.
 
소아의 경우 인슐린 분비 자체의 문제에 의한 1형 당뇨가 많으며, 소아 당뇨란 어릴 때 발생하는 당뇨라고 생각하시면 됩니다.
 
답변이 도움이 되었기를..",2009.08.20,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70113&docId=27985486&qb=66qp66eI66aE&enc=utf8&section=kin&rank=499&search_sort=0&spq=0,목마름
8,입이마르는데요..,학교에서 아침에 도착하면 물부터 찾게 되요....왜냐 입이말라서 찾아요   그리고 운동장 2바퀴정도 뛰면 굉장히 입이마르고 지쳐요(보통사람은 땀을 쫌 흐르는데 저는 땀이라는걸 못느껴요) 그래서 침을 뱉으면 걸죽해서 맑게 안나오고 약간 가래랑 비슷하게 나와야한다고 하나요? 약을 먹어도 잘 낮지도 않는데 쫌 나은건 물을 덜 먹는건데 그래도 입이말라서 물을 찾게되죠.....,"안녕하세요. 네이버 상담한의사 김재우 입니다.
항상 목이 마르시다구요.
귀하의 상태로 보아 수분대사에 이상이 있는 것으로 보입니다. 목이 항상 마르면 물을 많이 마시게 되는데, 이를 인체에서 제대로 활용하지 못하고 배출하는 것으로 생각되나 소변량을 알 수 없으므로, 현재는 정확한 예측이 어렵습니다.
 
한의학에서는 목이 마르고 물을 많이 마시는 상태를 구갈(口渴)이라고 합니다.
구갈은 2종류로 나뉘는데 목이 말라 더운물을 찾는 사람이 있고, 찬물을 찾는 사람이 있습니다.
정상적인 상태에서는 물을 마시게 되면 수분대사에 관여하는 장기들이 복합적으로 작용하여 진액(津液)이라는 형태로 수분을 전신에 공급하게 되는데, 귀하의 경우 수분대사에 관여하는 장기들의 기능구조에 문제가 생긴 것으로 사료됩니다.
 
보다 정확한 진단을 위해서는 언제부터 물을 많이 마시게 됐는지, 현재 수분 섭취량/배출량에 대한 평가가 있어야만 상태를 파악하여 보다 정확한 진료를 할 수 있습니다.
현재 기재하신 전신증상을 보면 인체에서 전체적인 혈(血), 진액(陳液)과 같은 음액(陰液)이 부족한 것으로 보여 가까운 한의원ㆍ병원에 내원하신다면 전신상태를 비롯한 목마름의 정확한 원인을 찾을 수 있으리라 생각됩니다.
시간이 되신다면 가까운 한의원ㆍ병원에 내원하시어 진료 받으시기 바랍니다.
 
답변이 도움이 되었으면 합니다.
감사합니다.",2009.04.09,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70309&docId=32766741&qb=66qp66eI66aE&enc=utf8&section=kin&rank=513&search_sort=0&spq=0,목마름
